x,phi,count
0.005,0.08726646259971647,2484
0.005,0.2617993877991494,2594
0.005,0.4363323129985824,2195
0.005,0.6108652381980153,1863
0.005,0.7853981633974483,1412
0.005,0.9599310885968811,1113
0.005,1.1344640137963142,817
0.005,1.308996938995747,684
0.005,1.4835298641951802,621
0.005,1.658062789394613,657
0.005,1.8325957145940461,721
0.005,2.007128639793479,810
0.005,2.181661564992912,1107
0.005,2.356194490192345,1342
0.005,2.530727415391778,1811
0.005,2.705260340591211,2260
0.005,2.879793265790644,2598
0.005,3.0543261909900767,2464
0.005,3.2288591161895095,2076
0.005,3.4033920413889422,1538
0.005,3.577924966588375,983
0.005,3.752457891787808,569
0.005,3.9269908169872414,392
0.005,4.101523742186675,207
0.005,4.276056667386107,111
0.005,4.4505895925855405,86
0.005,4.625122517784973,72
0.005,4.799655442984406,104
0.005,4.974188368183839,89
0.005,5.148721293383272,164
0.005,5.323254218582705,242
0.005,5.497787143782138,375
0.005,5.672320068981571,603
0.005,5.8468529941810035,1002
0.005,6.021385919380437,1532
0.005,6.19591884457987,2053
0.015,0.08726646259971647,2554
0.015,0.2617993877991494,2591
0.015,0.4363323129985824,2402
0.015,0.6108652381980153,1929
0.015,0.7853981633974483,1446
0.015,0.9599310885968811,1109
0.015,1.1344640137963142,917
0.015,1.308996938995747,719
0.015,1.4835298641951802,636
0.015,1.658062789394613,661
0.015,1.8325957145940461,775
0.015,2.007128639793479,860
0.015,2.181661564992912,1109
0.015,2.356194490192345,1414
0.015,2.530727415391778,1854
0.015,2.705260340591211,2342
0.015,2.879793265790644,2678
0.015,3.0543261909900767,2632
0.015,3.2288591161895095,2153
0.015,3.4033920413889422,1653
0.015,3.577924966588375,1027
0.015,3.752457891787808,649
0.015,3.9269908169872414,327
0.015,4.101523742186675,189
0.015,4.276056667386107,156
0.015,4.4505895925855405,96
0.015,4.625122517784973,100
0.015,4.799655442984406,94
0.015,4.974188368183839,94
0.015,5.148721293383272,153
0.015,5.323254218582705,227
0.015,5.497787143782138,364
0.015,5.672320068981571,592
0.015,5.8468529941810035,1057
0.015,6.021385919380437,1571
0.015,6.19591884457987,2189
0.025,0.08726646259971647,2873
0.025,0.2617993877991494,2790
0.025,0.4363323129985824,2506
0.025,0.6108652381980153,2036
0.025,0.7853981633974483,1580
0.025,0.9599310885968811,1128
0.025,1.1344640137963142,920
0.025,1.308996938995747,758
0.025,1.4835298641951802,704
0.025,1.658062789394613,677
0.025,1.8325957145940461,766
0.025,2.007128639793479,940
0.025,2.181661564992912,1178
0.025,2.356194490192345,1560
0.025,2.530727415391778,2003
0.025,2.705260340591211,2534
0.025,2.879793265790644,2804
0.025,3.0543261909900767,2712
0.025,3.2288591161895095,2328
0.025,3.4033920413889422,1706
0.025,3.577924966588375,1111
0.025,3.752457891787808,637
0.025,3.9269908169872414,366
0.025,4.101523742186675,220
0.025,4.276056667386107,173
0.025,4.4505895925855405,107
0.025,4.625122517784973,97
0.025,4.799655442984406,115
0.025,4.974188368183839,115
0.025,5.148721293383272,174
0.025,5.323254218582705,241
0.025,5.497787143782138,393
0.025,5.672320068981571,680
0.025,5.8468529941810035,1149
0.025,6.021385919380437,1683
0.025,6.19591884457987,2315
0.035,0.08726646259971647,2784
0.035,0.2617993877991494,3086
0.035,0.4363323129985824,2638
0.035,0.6108652381980153,2269
0.035,0.7853981633974483,1789
0.035,0.9599310885968811,1349
0.035,1.1344640137963142,976
0.035,1.308996938995747,759
0.035,1.4835298641951802,690
0.035,1.658062789394613,668
0.035,1.8325957145940461,792
0.035,2.007128639793479,981
0.035,2.181661564992912,1294
0.035,2.356194490192345,1712
0.035,2.530727415391778,2169
0.035,2.705260340591211,2695
0.035,2.879793265790644,2828
0.035,3.0543261909900767,2844
0.035,3.2288591161895095,2359
0.035,3.4033920413889422,1887
0.035,3.577924966588375,1161
0.035,3.752457891787808,719
0.035,3.9269908169872414,412
0.035,4.101523742186675,249
0.035,4.276056667386107,170
0.035,4.4505895925855405,109
0.035,4.625122517784973,121
0.035,4.799655442984406,120
0.035,4.974188368183839,119
0.035,5.148721293383272,141
0.035,5.323254218582705,227
0.035,5.497787143782138,371
0.035,5.672320068981571,714
0.035,5.8468529941810035,1292
0.035,6.021385919380437,1868
0.035,6.19591884457987,2391
0.045,0.08726646259971647,3163
0.045,0.2617993877991494,3237
0.045,0.4363323129985824,2933
0.045,0.6108652381980153,2425
0.045,0.7853981633974483,1856
0.045,0.9599310885968811,1362
0.045,1.1344640137963142,1017
0.045,1.308996938995747,846
0.045,1.4835298641951802,757
0.045,1.658062789394613,785
0.045,1.8325957145940461,877
0.045,2.007128639793479,1068
0.045,2.181661564992912,1350
0.045,2.356194490192345,1766
0.045,2.530727415391778,2348
0.045,2.705260340591211,2821
0.045,2.879793265790644,3103
0.045,3.0543261909900767,3030
0.045,3.2288591161895095,2462
0.045,3.4033920413889422,1914
0.045,3.577924966588375,1223
0.045,3.752457891787808,725
0.045,3.9269908169872414,399
0.045,4.101523742186675,279
0.045,4.276056667386107,191
0.045,4.4505895925855405,133
0.045,4.625122517784973,99
0.045,4.799655442984406,83
0.045,4.974188368183839,130
0.045,5.148721293383272,161
0.045,5.323254218582705,266
0.045,5.497787143782138,451
0.045,5.672320068981571,800
0.045,5.8468529941810035,1317
0.045,6.021385919380437,2009
0.045,6.19591884457987,2718
0.055,0.08726646259971647,3501
0.055,0.2617993877991494,3498
0.055,0.4363323129985824,3117
0.055,0.6108652381980153,2680
0.055,0.7853981633974483,1997
0.055,0.9599310885968811,1467
0.055,1.1344640137963142,1059
0.055,1.308996938995747,898
0.055,1.4835298641951802,783
0.055,1.658062789394613,824
0.055,1.8325957145940461,843
0.055,2.007128639793479,1101
0.055,2.181661564992912,1363
0.055,2.356194490192345,1927
0.055,2.530727415391778,2530
0.055,2.705260340591211,3132
0.055,2.879793265790644,3374
0.055,3.0543261909900767,3233
0.055,3.2288591161895095,2695
0.055,3.4033920413889422,1947
0.055,3.577924966588375,1283
0.055,3.752457891787808,741
0.055,3.9269908169872414,457
0.055,4.101523742186675,326
0.055,4.276056667386107,186
0.055,4.4505895925855405,154
0.055,4.625122517784973,128
0.055,4.799655442984406,114
0.055,4.974188368183839,105
0.055,5.148721293383272,160
0.055,5.323254218582705,282
0.055,5.497787143782138,482
0.055,5.672320068981571,781
0.055,5.8468529941810035,1376
0.055,6.021385919380437,2135
0.055,6.19591884457987,2873
0.065,0.08726646259971647,3605
0.065,0.2617993877991494,3652
0.065,0.4363323129985824,3322
0.065,0.6108652381980153,2799
0.065,0.7853981633974483,2178
0.065,0.9599310885968811,1555
0.065,1.1344640137963142,1134
0.065,1.308996938995747,962
0.065,1.4835298641951802,846
0.065,1.658062789394613,837
0.065,1.8325957145940461,1023
0.065,2.007128639793479,1183
0.065,2.181661564992912,1469
0.065,2.356194490192345,2072
0.065,2.530727415391778,2726
0.065,2.705260340591211,3405
0.065,2.879793265790644,3646
0.065,3.0543261909900767,3577
0.065,3.2288591161895095,2924
0.065,3.4033920413889422,2159
0.065,3.577924966588375,1368
0.065,3.752457891787808,894
0.065,3.9269908169872414,506
0.065,4.101523742186675,332
0.065,4.276056667386107,225
0.065,4.4505895925855405,172
0.065,4.625122517784973,127
0.065,4.799655442984406,150
0.065,4.974188368183839,146
0.065,5.148721293383272,185
0.065,5.323254218582705,297
0.065,5.497787143782138,527
0.065,5.672320068981571,835
0.065,5.8468529941810035,1488
0.065,6.021385919380437,2220
0.065,6.19591884457987,2969
0.075,0.08726646259971647,3806
0.075,0.2617993877991494,4204
0.075,0.4363323129985824,3780
0.075,0.6108652381980153,3002
0.075,0.7853981633974483,2432
0.075,0.9599310885968811,1674
0.075,1.1344640137963142,1378
0.075,1.308996938995747,1076
0.075,1.4835298641951802,993
0.075,1.658062789394613,1020
0.075,1.8325957145940461,1111
0.075,2.007128639793479,1263
0.075,2.181661564992912,1703
0.075,2.356194490192345,2248
0.075,2.530727415391778,2939
0.075,2.705260340591211,3765
0.075,2.879793265790644,4076
0.075,3.0543261909900767,4004
0.075,3.2288591161895095,3377
0.075,3.4033920413889422,2498
0.075,3.577924966588375,1571
0.075,3.752457891787808,932
0.075,3.9269908169872414,573
0.075,4.101523742186675,347
0.075,4.276056667386107,229
0.075,4.4505895925855405,168
0.075,4.625122517784973,164
0.075,4.799655442984406,139
0.075,4.974188368183839,172
0.075,5.148721293383272,221
0.075,5.323254218582705,354
0.075,5.497787143782138,628
0.075,5.672320068981571,1041
0.075,5.8468529941810035,1595
0.075,6.021385919380437,2332
0.075,6.19591884457987,3258
0.085,0.08726646259971647,4338
0.085,0.2617993877991494,4500
0.085,0.4363323129985824,4164
0.085,0.6108652381980153,3509
0.085,0.7853981633974483,2640
0.085,0.9599310885968811,1984
0.085,1.1344640137963142,1549
0.085,1.308996938995747,1264
0.085,1.4835298641951802,1138
0.085,1.658062789394613,1085
0.085,1.8325957145940461,1182
0.085,2.007128639793479,1488
0.085,2.181661564992912,1923
0.085,2.356194490192345,2447
0.085,2.530727415391778,3362
0.085,2.705260340591211,3970
0.085,2.879793265790644,4549
0.085,3.0543261909900767,4249
0.085,3.2288591161895095,3583
0.085,3.4033920413889422,2622
0.085,3.577924966588375,1681
0.085,3.752457891787808,1125
0.085,3.9269908169872414,650
0.085,4.101523742186675,421
0.085,4.276056667386107,283
0.085,4.4505895925855405,191
0.085,4.625122517784973,160
0.085,4.799655442984406,175
0.085,4.974188368183839,212
0.085,5.148721293383272,243
0.085,5.323254218582705,402
0.085,5.497787143782138,608
0.085,5.672320068981571,1085
0.085,5.8468529941810035,1800
0.085,6.021385919380437,2736
0.085,6.19591884457987,3588
0.095,0.08726646259971647,4957
0.095,0.2617993877991494,5036
0.095,0.4363323129985824,4539
0.095,0.6108652381980153,3823
0.095,0.7853981633974483,2915
0.095,0.9599310885968811,2173
0.095,1.1344640137963142,1680
0.095,1.308996938995747,1406
0.095,1.4835298641951802,1167
0.095,1.658062789394613,1264
0.095,1.8325957145940461,1365
0.095,2.007128639793479,1649
0.095,2.181661564992912,2141
0.095,2.356194490192345,2799
0.095,2.530727415391778,3600
0.095,2.705260340591211,4429
0.095,2.879793265790644,4916
0.095,3.0543261909900767,4759
0.095,3.2288591161895095,4047
0.095,3.4033920413889422,3111
0.095,3.577924966588375,1910
0.095,3.752457891787808,1269
0.095,3.9269908169872414,742
0.095,4.101523742186675,429
0.095,4.276056667386107,266
0.095,4.4505895925855405,231
0.095,4.625122517784973,207
0.095,4.799655442984406,183
0.095,4.974188368183839,218
0.095,5.148721293383272,276
0.095,5.323254218582705,407
0.095,5.497787143782138,695
0.095,5.672320068981571,1152
0.095,5.8468529941810035,1989
0.095,6.021385919380437,3047
0.095,6.19591884457987,3994
0.105,0.08726646259971647,5402
0.105,0.2617993877991494,5438
0.105,0.4363323129985824,5097
0.105,0.6108652381980153,4239
0.105,0.7853981633974483,3190
0.105,0.9599310885968811,2450
0.105,1.1344640137963142,1915
0.105,1.308996938995747,1510
0.105,1.4835298641951802,1364
0.105,1.658062789394613,1321
0.105,1.8325957145940461,1496
0.105,2.007128639793479,1864
0.105,2.181661564992912,2410
0.105,2.356194490192345,3197
0.105,2.530727415391778,4173
0.105,2.705260340591211,5017
0.105,2.879793265790644,5608
0.105,3.0543261909900767,5244
0.105,3.2288591161895095,4657
0.105,3.4033920413889422,3434
0.105,3.577924966588375,2219
0.105,3.752457891787808,1353
0.105,3.9269908169872414,822
0.105,4.101523742186675,509
0.105,4.276056667386107,345
0.105,4.4505895925855405,263
0.105,4.625122517784973,198
0.105,4.799655442984406,197
0.105,4.974188368183839,199
0.105,5.148721293383272,296
0.105,5.323254218582705,499
0.105,5.497787143782138,799
