combo_id,trial_id,device_id,m,l,beta_pe,abs_delta_alpha_e_over_p,f,x0,y0,phi0,x_end,y_end,phi_end,T,steps,status,pass_direction
13,23,1,3,0.038400000000000004,2.0,1.0,10.0,0.6234890757128597,-0.16654031888887838,3.6864292278086035,1.623713353986174,-0.11554790728931186,-3.7237827527837832,0.060346,150865,ok,right
13,120,1,3,0.038400000000000004,2.0,1.0,10.0,0.26859920024871825,-0.25907747789984453,2.517311986845648,1.2686529510007227,-0.4020611593548353,0.05980401884495756,0.07626999999999999,190675,ok,right
13,262,1,3,0.038400000000000004,2.0,1.0,10.0,0.6084706829860806,-0.2674425720233422,5.947998408156976,1.6093772933549055,-0.05526757812823925,0.6885095500729695,0.07723239999999999,193081,ok,right
13,147,1,3,0.038400000000000004,2.0,1.0,10.0,0.6584007756784559,-0.12924744291817986,2.5716603634051096,1.6586856856528573,0.06416637388442306,1.7351726535181289,0.0832108,208027,ok,right
13,650,1,3,0.038400000000000004,2.0,1.0,10.0,0.6067592274397612,-0.009608302624146154,4.725852199376087,1.6069276808942765,-0.6014601504691679,6.508412667434894,0.0834048,208512,ok,right
13,975,1,3,0.038400000000000004,2.0,1.0,10.0,-0.06176281254738569,-0.5268132604004345,0.7440027063562193,0.9386531230574137,-0.01793291846629721,0.6547339413660587,0.0836,209000,ok,right
13,175,1,3,0.038400000000000004,2.0,1.0,10.0,0.05891686528921128,-0.37904057628759413,6.208327205359172,1.0606217786010474,-0.03824763439642095,-0.38084226673042276,0.08727,218175,ok,right
13,52,1,3,0.038400000000000004,2.0,1.0,10.0,0.5801309993490577,0.26990981619640647,3.062764696808985,1.5806430425512945,-0.33098784946798604,14.743014047564,0.0909252,227313,ok,right
13,311,1,3,0.038400000000000004,2.0,1.0,10.0,0.1564591268077493,0.09001396674598379,5.32625615590227,1.1569948954189426,0.2959741755065566,1.9638210190338963,0.09333079999999999,233327,ok,right
13,97,1,3,0.038400000000000004,2.0,1.0,10.0,0.6958516461774708,-0.25306243210042634,1.1489443028505393,1.69586874582531,-0.18494572804221085,13.8220166598592,0.0981272,245318,ok,right
13,166,1,3,0.038400000000000004,2.0,1.0,10.0,0.11353677455335856,-0.2774439180434556,1.5166599138988581,1.1138282498452887,0.09637268578379793,19.819874586462504,0.09929879999999999,248247,ok,right
13,474,1,3,0.038400000000000004,2.0,1.0,10.0,0.6982482990249992,-0.14270214728367092,0.7611515850644229,1.698797999408473,0.19961008624031626,13.064121814079437,0.096346,240865,ok,right
13,185,1,3,0.038400000000000004,2.0,1.0,10.0,0.566952969133854,0.1794115918118951,4.325385009510191,1.5675517341060985,-0.5400836456337725,7.430157899214025,0.1006832,251708,ok,right
13,814,1,3,0.038400000000000004,2.0,1.0,10.0,0.31578711569309237,-0.5887688912289778,2.3840021636935633,1.3159142511728161,-0.08716148687150374,0.6507957101200913,0.1023832,255958,ok,right
13,26,1,3,0.038400000000000004,2.0,1.0,10.0,0.3947201734408736,-0.767670930545257,5.9178151985394285,1.396002203003638,0.029096797039840236,-5.810082317696682,0.11275919999999999,281898,ok,right
13,273,1,3,0.038400000000000004,2.0,1.0,10.0,0.629736702144146,0.19375458698282744,4.7551862069923905,-1.1645019350488044,-0.006450072235743502,11.895632070276626,0.1133448,283362,ok,left
13,677,1,3,0.038400000000000004,2.0,1.0,10.0,0.6818305237218738,-0.18597224255054162,2.4725316855434976,1.6822627683631615,0.1797186183136214,8.743533753944098,0.115518,288795,ok,right
13,907,1,3,0.038400000000000004,2.0,1.0,10.0,0.6518122037872672,0.16025468085871966,5.947766071896381,1.6530224479304978,-0.07928385297321464,26.331129033506194,0.115326,288315,ok,right
13,46,1,3,0.038400000000000004,2.0,1.0,10.0,0.2215246830135584,-0.49634530385207454,3.660151358464154,1.222984066504463,-0.03811447901725184,0.44601200321008894,0.11852839999999999,296321,ok,right
13,153,1,3,0.038400000000000004,2.0,1.0,10.0,0.17924564965069295,0.8210471056746919,1.1972955081866044,1.179632148358517,0.21663599892355362,-10.767691559936189,0.1259712,314928,ok,right
13,654,1,3,0.038400000000000004,2.0,1.0,10.0,0.07805221043527127,-1.1927928082694927,3.3272307302065323,1.0780583402994033,-0.0559413514932815,-5.848534748468841,0.12788,319700,ok,right
13,106,1,3,0.038400000000000004,2.0,1.0,10.0,-0.0405729802325368,0.3135761685666083,3.4514497916976183,0.9599930901096159,-0.05299296159869489,15.074890290552085,0.1356896,339224,ok,right
13,538,1,3,0.038400000000000004,2.0,1.0,10.0,0.6717229979112744,-0.2591847713783407,3.4488619071704116,1.6721887634204917,0.28932743655697546,25.30661336680548,0.1358008,339502,ok,right
13,12,1,3,0.038400000000000004,2.0,1.0,10.0,0.6894771628081799,-0.344286043550155,0.30177748836941126,1.6907857089887066,0.2935270110864544,14.39696621292383,0.1370008,342502,ok,right
13,74,1,3,0.038400000000000004,2.0,1.0,10.0,0.6881118003278971,0.12292842892586471,5.655996746967149,1.688913061627834,0.0842265262892465,-3.86176666856047,0.1389736,347434,ok,right
13,419,1,3,0.038400000000000004,2.0,1.0,10.0,0.35399362705647947,-0.06507745273071457,4.789130900833711,1.3540232854804173,0.07145877288785914,-4.520719538538921,0.1405768,351442,ok,right
13,706,1,3,0.038400000000000004,2.0,1.0,10.0,0.5338802190497518,-0.2922650593468957,3.094615412136267,1.534580842019739,-0.1187501823360327,15.842329355246946,0.1488632,372158,ok,right
13,841,1,3,0.038400000000000004,2.0,1.0,10.0,0.6963932046666742,-0.12234370895157194,0.02552671942746886,1.6966134878637529,0.22077827315996254,20.24130711245264,0.1529896,382474,ok,right
13,290,1,3,0.038400000000000004,2.0,1.0,10.0,-0.09989934992045164,-0.049005072982528146,0.11370231750648596,0.9004000263468472,0.05450285829253086,-16.555302670736936,0.1590696,397674,ok,right
13,34,1,3,0.038400000000000004,2.0,1.0,10.0,-0.07699320614337922,0.3932177288733813,4.704127868824806,0.9232234836670808,0.02859812483868235,21.608136976727163,0.1671596,417899,ok,right
13,470,1,3,0.038400000000000004,2.0,1.0,10.0,-0.08392677381634712,0.3599287526885996,2.9485285765874734,0.916596659762571,0.04279896693882558,0.6828625862927891,0.1664668,416167,ok,right
13,609,1,3,0.038400000000000004,2.0,1.0,10.0,0.6237811151891948,0.022822206046219717,5.876852177156595,1.624373548681217,0.3600568599056114,-18.97172494528993,0.1654116,413529,ok,right
13,29,1,3,0.038400000000000004,2.0,1.0,10.0,0.6683170387521387,-0.13863143706617068,5.892986377347937,1.6683334316442269,-0.212787672218918,25.96925760994537,0.1681788,420447,ok,right
13,411,1,3,0.038400000000000004,2.0,1.0,10.0,0.4147993287071586,-0.1971254182457809,0.4708561442483801,1.4150518498555649,-0.1347282797989167,6.9748896699316925,0.1686624,421656,ok,right
13,480,1,3,0.038400000000000004,2.0,1.0,10.0,0.6674616985023022,0.05276816545760292,0.7754935116518039,1.6680093113836698,0.09781308035221567,32.90045707118666,0.16924119999999998,423103,ok,right
13,798,1,3,0.038400000000000004,2.0,1.0,10.0,0.682850762270391,0.29657119982954255,1.387058109703504,1.6828868732434465,0.2778416280683859,-10.178548914569127,0.1719336,429834,ok,right
13,468,1,3,0.038400000000000004,2.0,1.0,10.0,-0.09846519362181426,-0.15621003894086066,5.138779924181849,0.901836293600866,-0.049874887319507004,15.379674840063556,0.17447559999999998,436189,ok,right
13,499,1,3,0.038400000000000004,2.0,1.0,10.0,0.6810647945851088,-0.2391195486152667,1.4254671335935192,1.6815121130700161,-0.052778652633001605,-4.627329938165145,0.17434639999999998,435866,ok,right
13,516,1,3,0.038400000000000004,2.0,1.0,10.0,-0.06382250115275383,-0.310279777281695,0.10834987183563956,0.9374380102836867,-0.049046068573390444,15.380070386109317,0.17251,431275,ok,right
13,867,1,3,0.038400000000000004,2.0,1.0,10.0,0.669770472496748,0.32071448818771525,5.12615841705113,1.6699354574030705,-0.30093414903894605,13.635884431838203,0.17368719999999999,434218,ok,right
13,943,1,3,0.038400000000000004,2.0,1.0,10.0,0.5955330172553659,0.2606430266231011,3.425216475523273,1.5959070925636514,-0.4696023093420941,6.664592728357864,0.1754472,438618,ok,right
13,226,1,3,0.038400000000000004,2.0,1.0,10.0,0.6473148552700878,0.003930803043372874,4.133592176134557,1.6475132983292462,-0.05884184437460836,8.819993706032928,0.17826599999999998,445665,ok,right
13,155,1,3,0.038400000000000004,2.0,1.0,10.0,0.11413298361003399,0.5651975821749697,1.7953058835019509,1.1145228064298631,0.03933823677004077,1.2851035802424893,0.1864044,466011,ok,right
13,116,1,3,0.038400000000000004,2.0,1.0,10.0,0.09450435340404512,0.17829563200193566,2.378887058926061,1.0946042780020788,0.16571066201708773,9.22235879245451,0.18822919999999999,470573,ok,right
13,7,1,3,0.038400000000000004,2.0,1.0,10.0,-0.04823278617113829,-0.49278923249998835,0.13856657203677564,0.9525874182303224,-0.020829773274012368,-12.627910336922193,0.19741999999999998,493550,ok,right
13,508,1,3,0.038400000000000004,2.0,1.0,10.0,0.05000230800360442,0.5603702090490424,2.9320775317468515,1.0500097023047867,0.06486335039029203,-17.881479641377283,0.20245839999999998,506146,ok,right
13,346,1,3,0.038400000000000004,2.0,1.0,10.0,0.012614748999476434,-0.10127524827456155,2.6809549950509304,1.0132255908406407,-0.03017524524335187,8.91731998172112,0.20684,517100,ok,right
13,944,1,3,0.038400000000000004,2.0,1.0,10.0,-0.0003049165010452271,0.09960671327906796,1.3493507086388956,0.9997953171701705,-0.10568330015561987,1.5876989215800876,0.20777759999999998,519444,ok,right
13,762,1,3,0.038400000000000004,2.0,1.0,10.0,0.0008990086615085602,0.10813344803665116,5.704594348669469,1.0010554486847987,-0.0005897774949196643,21.916508308055132,0.2109352,527338,ok,right
13,266,1,3,0.038400000000000004,2.0,1.0,10.0,-0.007962716370820999,0.09081410240235621,4.85748830673119,0.9922125615042843,0.05584629741522869,8.103946482616323,0.2174488,543622,ok,right
13,379,1,3,0.038400000000000004,2.0,1.0,10.0,0.6887798115611077,-0.04533590919966233,4.676819243493803,1.6904668131270746,-0.16925510527624474,16.307488326789876,0.2183616,545904,ok,right
13,591,1,3,0.038400000000000004,2.0,1.0,10.0,-0.021398947015404703,0.13029930255460714,5.904878420859283,0.9795542092448369,0.0505542219016382,3.015358540880266,0.2193676,548419,ok,right
13,804,1,3,0.038400000000000004,2.0,1.0,10.0,0.41565002817660573,0.6727296038581857,4.694876165694234,1.4163613579255614,0.11309318537615212,9.702321314972611,0.216242,540605,ok,right
13,460,1,3,0.038400000000000004,2.0,1.0,10.0,0.30110375545918944,-0.01700944044531218,0.08875225990501111,1.3012183194527616,0.3261909745619556,-10.66110892866994,0.22375599999999998,559390,ok,right
13,634,1,3,0.038400000000000004,2.0,1.0,10.0,0.3362653085961938,-0.8154261250533097,3.3716970688080186,1.3363826043540799,0.28261321896475206,20.184922181235688,0.22586119999999998,564653,ok,right
13,711,1,3,0.038400000000000004,2.0,1.0,10.0,0.15476683229207994,0.4194082973602702,5.964424619963203,1.1553910012948339,0.0620225511341503,6.336506122506796,0.2242012,560503,ok,right
13,786,1,3,0.038400000000000004,2.0,1.0,10.0,-0.03976201731711626,-0.6134991706458702,4.054232619793351,0.9603937027645916,0.05819903948593572,-6.448353861088585,0.22437079999999998,560927,ok,right
13,866,1,3,0.038400000000000004,2.0,1.0,10.0,0.027431562542915344,0.21942954142056928,1.015968250309912,1.028753251866703,0.011707119309670541,15.547480325697565,0.235732,589330,ok,right
13,561,1,3,0.038400000000000004,2.0,1.0,10.0,0.46012008283287287,-0.7527435974577689,5.141329668971811,1.460210847094384,0.5558759094887064,-23.913708241789443,0.2361788,590447,ok,right
13,767,1,3,0.038400000000000004,2.0,1.0,10.0,0.6750809494405985,0.3496144762908786,4.845335837469209,1.6751497270705669,-0.25623763964144913,-15.580334001637505,0.2365352,591338,ok,right
13,901,1,3,0.038400000000000004,2.0,1.0,10.0,0.5920649515464902,0.7125755479912076,3.815816277092839,1.5924607865754095,-0.003131861340381354,-4.8321272757696505,0.2373428,593357,ok,right
13,79,1,3,0.038400000000000004,2.0,1.0,10.0,0.1039553251117468,-0.19751663010398238,1.5839774030167717,1.1046239326638845,-0.19314649883375298,-3.569181570150343,0.24348679999999998,608717,ok,right
13,204,1,3,0.038400000000000004,2.0,1.0,10.0,0.6758067887276411,0.13796268814021748,3.395883167181811,1.6764893354248975,0.09601185376264382,9.6700419564987,0.2550976,637744,ok,right
13,227,1,3,0.038400000000000004,2.0,1.0,10.0,0.3624268924817443,-1.0514580101049786,4.994949777284624,1.3631193397648884,0.05759041712114343,-11.2429082147495,0.2583524,645881,ok,right
13,971,1,3,0.038400000000000004,2.0,1.0,10.0,0.584432096965611,0.1212171885227685,2.120376455310355,1.584642326904125,-0.5515833988923801,-10.690460164142646,0.2609296,652324,ok,right
13,332,1,3,0.038400000000000004,2.0,1.0,10.0,0.5179396580904723,-0.5124225826692761,5.102622416065074,1.5187115774211486,0.21642711242678608,15.045051993127515,0.2645556,661389,ok,right
13,388,1,3,0.038400000000000004,2.0,1.0,10.0,0.3922393634915352,0.20769396108445784,3.2682706975073677,1.3927695342616804,0.276947851697299,19.476556837125784,0.2668856,667214,ok,right
13,479,1,3,0.038400000000000004,2.0,1.0,10.0,0.23377144411206247,-0.09363695043088766,5.68687645627099,1.2347008220459896,-0.5147138780686935,-15.97135286509662,0.2677408,669352,ok,right
13,530,1,3,0.038400000000000004,2.0,1.0,10.0,0.16408176068216562,0.06453873910369186,1.0103750244153171,1.1641645534465084,0.24001347831989747,-6.8218406897773205,0.264404,661010,ok,right
13,192,1,3,0.038400000000000004,2.0,1.0,10.0,0.37370019778609276,-0.49663006919501346,1.055888632422635,1.3738595659655854,-0.6034335935407722,14.64164785203853,0.26937639999999996,673441,ok,right
13,141,1,3,0.038400000000000004,2.0,1.0,10.0,0.40894659217447044,-0.2667974367594377,5.850310006791519,1.4092418180650417,0.10144018068340512,1.0551554912632781,0.2742884,685721,ok,right
13,576,1,3,0.038400000000000004,2.0,1.0,10.0,0.40384820457547904,-0.6732401573509251,2.614208321938366,1.4051081921042508,0.04341347302428801,-4.844454882403022,0.27455199999999996,686380,ok,right
13,577,1,3,0.038400000000000004,2.0,1.0,10.0,0.3098741386085749,0.4285899575713279,5.799378936645158,1.3099297169665953,-0.019280174705063602,-16.861658641004254,0.2839772,709943,ok,right
13,608,1,3,0.038400000000000004,2.0,1.0,10.0,0.5599022313952446,-0.1110993219045265,3.605381837048033,1.5600223660765349,0.0333738881050717,-11.14669995132271,0.2827384,706846,ok,right
13,992,1,3,0.038400000000000004,2.0,1.0,10.0,0.6604325897991657,0.2739114084534223,1.5092097124594923,1.6609838495450255,-0.24194472722793792,-17.381252470648647,0.2892336,723084,ok,right
13,144,1,3,0.038400000000000004,2.0,1.0,10.0,0.010273256152868272,-0.46614909664797466,2.4279748991059242,1.0104527785851425,0.1578521351580513,-5.8851861477973095,0.2983612,745903,ok,right
13,240,1,3,0.038400000000000004,2.0,1.0,10.0,-0.001000894233584404,-0.6678477211783812,4.544946687615384,0.9995890097522222,0.09852251033264024,25.929151302321646,0.296664,741660,ok,right
13,835,1,3,0.038400000000000004,2.0,1.0,10.0,0.05363298021256924,1.1783230042141115,1.5780701310351823,1.0538274752322248,0.19897191060645447,7.229779129529894,0.29696639999999996,742416,ok,right
13,92,1,3,0.038400000000000004,2.0,1.0,10.0,0.09188282359391452,0.03312402869082225,5.887705749251438,1.0925343452313285,0.06678809473024587,-0.31132029159266955,0.3001056,750264,ok,right
13,197,1,3,0.038400000000000004,2.0,1.0,10.0,0.567335837520659,-0.5354125779008705,3.2114150124855874,1.5674677903781624,-0.08465571576190248,31.772621970807823,0.3040964,760241,ok,right
13,391,1,3,0.038400000000000004,2.0,1.0,10.0,0.042863237857818606,-0.21426547166919888,0.3047257759317081,1.0433277732445088,0.08898115807261507,-3.552509677912009,0.3066404,766601,ok,right
13,414,1,3,0.038400000000000004,2.0,1.0,10.0,0.4083922984078527,-0.14245450123829773,2.0893442719067843,1.4089447147970748,0.049811167124283795,-28.743842372015173,0.3057396,764349,ok,right
13,871,1,3,0.038400000000000004,2.0,1.0,10.0,0.6838236887007952,0.19744686063774677,1.0992400475087962,1.6841546438313157,0.17847302165338613,2.138866630686856,0.30554159999999997,763854,ok,right
13,67,1,3,0.038400000000000004,2.0,1.0,10.0,0.3483806481584907,-0.17378138741432272,1.128749284915553,1.3484817839897534,-0.28390535216382856,-4.005273304807746,0.3092276,773069,ok,right
13,361,1,3,0.038400000000000004,2.0,1.0,10.0,-0.06128988191485405,-0.293926865334944,2.524728912750383,0.9392304243754325,-0.09964419370457729,12.893308883781174,0.3120308,780077,ok,right
13,578,1,3,0.038400000000000004,2.0,1.0,10.0,0.04279635902494192,-0.7404550779320017,5.463696314665125,1.0429288411551665,0.0323249360728903,1.204620926459129,0.3127928,781982,ok,right
13,894,1,3,0.038400000000000004,2.0,1.0,10.0,0.07512084413319826,-0.2056141133623251,1.007887953961707,1.0767543569887086,0.3254247095809937,21.616683419315642,0.32631119999999997,815778,ok,right
13,86,1,3,0.038400000000000004,2.0,1.0,10.0,0.49970675650984053,0.3867589109199003,3.5637874758130748,1.5000393288146778,-0.45126280425295917,7.395296275217287,0.3287872,821968,ok,right
13,902,1,3,0.038400000000000004,2.0,1.0,10.0,0.6594597728922964,-0.29772077466639707,4.776332253341527,1.6595315654079112,0.30851119507243663,27.57245222899959,0.3295432,823858,ok,right
13,342,1,3,0.038400000000000004,2.0,1.0,10.0,-0.09662045966833831,-0.12637198703866573,2.4352359423118046,0.9035943127384921,0.03800126197866783,-52.06490796424059,0.33229359999999997,830734,ok,right
13,991,1,3,0.038400000000000004,2.0,1.0,10.0,0.011475573480129243,-0.5326103366644352,0.48940598499227583,1.0120883203605626,0.05416003835334386,3.278936949926967,0.3351324,837831,ok,right
13,307,1,3,0.038400000000000004,2.0,1.0,10.0,0.6108629830181599,0.2618187918294257,5.718766082293344,1.6111078904198466,-0.2187922663081273,-10.078737197718581,0.3363008,840752,ok,right
13,449,1,3,0.038400000000000004,2.0,1.0,10.0,0.30727489888668064,-0.4311263418097417,5.50504457504328,1.3076532512426056,-0.3477531753533842,1.68081929435372,0.3382864,845716,ok,right
