# P(phi) [1/rad] at wide section, m=3 beta=1
# columns d033 d1 d2 d3 d5 d10 = delta values
phi_deg d0333333 d1 d2 d3 d5 d10
5 0.149124 0.174764 0.217749 0.268512 0.373769 0.576677
15 0.175337 0.196816 0.250052 0.28612 0.377097 0.516614
25 0.20405 0.227111 0.254495 0.284228 0.336333 0.344079
35 0.232393 0.243598 0.261626 0.264419 0.275484 0.19104
45 0.257401 0.258162 0.246623 0.238047 0.205682 0.0895092
55 0.279477 0.264379 0.236881 0.2065 0.148161 0.0410175
65 0.297415 0.26802 0.219541 0.183989 0.108387 0.0232778
75 0.304269 0.268604 0.216424 0.159277 0.0863214 0.0135074
85 0.315785 0.270459 0.20941 0.156883 0.0772099 0.00945519
95 0.320694 0.262765 0.205864 0.154605 0.0761799 0.0119316
105 0.30856 0.269154 0.213462 0.158351 0.0875495 0.0130121
115 0.299205 0.266131 0.224373 0.186422 0.108347 0.0229626
125 0.276698 0.263761 0.239103 0.216076 0.146259 0.0434038
135 0.260242 0.258368 0.254027 0.242217 0.197085 0.0934263
145 0.230911 0.246758 0.263808 0.273185 0.269026 0.192346
155 0.204606 0.2301 0.265172 0.29253 0.333678 0.350698
165 0.17546 0.208632 0.253598 0.292954 0.372382 0.513552
175 0.151656 0.178817 0.22523 0.27164 0.36228 0.574291
185 0.131464 0.150858 0.184782 0.230556 0.317713 0.490184
195 0.107536 0.124994 0.154388 0.175688 0.221132 0.308374
205 0.0852755 0.0951449 0.115421 0.130125 0.146338 0.156551
215 0.0712894 0.0769403 0.0845977 0.0883072 0.0852518 0.0634399
225 0.0621196 0.0642314 0.0651531 0.0579576 0.0494793 0.0230527
235 0.055636 0.0523125 0.0458644 0.0386127 0.0284437 0.00810445
245 0.0500168 0.0463703 0.0366681 0.0302337 0.0191737 0.00310671
255 0.0444902 0.0401876 0.0307841 0.0232448 0.0122015 0.00243134
265 0.043811 0.0355849 0.027316 0.0218162 0.0117657 0.00193606
275 0.0436566 0.0381954 0.0293813 0.0193449 0.0115676 0.00166592
285 0.0444594 0.0403936 0.0305503 0.0237854 0.0126372 0.00202611
295 0.0473616 0.0420424 0.037993 0.0290753 0.0198472 0.00459252
305 0.0547097 0.053446 0.0469944 0.0387285 0.0295529 0.00914002
315 0.0598658 0.0638192 0.0642958 0.0605833 0.0482909 0.0226024
325 0.0712585 0.0779364 0.0801555 0.0909328 0.0886191 0.0633498
335 0.0875294 0.0990263 0.108602 0.130549 0.147685 0.157046
345 0.103893 0.123826 0.144218 0.174993 0.22541 0.302026
355 0.121924 0.14787 0.184977 0.229089 0.313237 0.489149
