# P(phi) [1/rad] at wide section, m=6 beta=1
# columns d033 d1 d2 d3 d5 d10 = delta values
phi_deg d0333333 d1 d2 d3 d5 d10
5 0.14785 0.17246 0.218132 0.273684 0.361934 0.57813
15 0.174605 0.198006 0.245575 0.289708 0.369764 0.505802
25 0.204567 0.225118 0.259486 0.290236 0.324496 0.343336
35 0.226828 0.248058 0.261373 0.271826 0.261482 0.189044
45 0.259847 0.257296 0.249409 0.245477 0.197834 0.0932835
55 0.281922 0.266079 0.243989 0.211971 0.145791 0.0455271
65 0.298721 0.272183 0.225781 0.186763 0.112479 0.0234323
75 0.319006 0.271891 0.212271 0.164341 0.0874888 0.0149363
85 0.31757 0.273294 0.207111 0.154714 0.0792135 0.00980889
95 0.314382 0.276774 0.210685 0.155664 0.0803622 0.0107501
105 0.310504 0.273021 0.217088 0.164088 0.0910287 0.0139455
115 0.299336 0.269614 0.226363 0.178951 0.111236 0.0229369
125 0.281997 0.2716 0.243025 0.204434 0.148862 0.0456014
135 0.254832 0.261214 0.2632 0.239418 0.205055 0.0956614
145 0.234267 0.245453 0.263883 0.26792 0.273789 0.191026
155 0.205667 0.228908 0.261293 0.294817 0.336241 0.351064
165 0.177812 0.202634 0.248927 0.29714 0.384604 0.51135
175 0.146713 0.174574 0.22028 0.269018 0.370468 0.58083
185 0.125682 0.148354 0.188502 0.224998 0.316057 0.488809
195 0.102973 0.119966 0.143996 0.175784 0.230467 0.312894
205 0.0847762 0.0989574 0.110331 0.122179 0.148698 0.156224
215 0.0717437 0.0774932 0.081102 0.0818116 0.0896221 0.0646495
225 0.0623469 0.0601288 0.0599834 0.0546818 0.0508241 0.0249433
235 0.0536213 0.0503077 0.0461519 0.039544 0.0285769 0.00943734
245 0.0479721 0.0445682 0.0360141 0.0294522 0.0184495 0.00406227
255 0.0446347 0.0388104 0.0296705 0.0219783 0.0131983 0.00245222
265 0.0443364 0.0345467 0.0277232 0.021176 0.0112995 0.00148619
275 0.0415025 0.0339272 0.0290883 0.0204371 0.0113463 0.00195682
285 0.0450822 0.0385553 0.0313166 0.0244485 0.0123075 0.00227883
295 0.048345 0.0443677 0.0374997 0.0310779 0.0186371 0.00364118
305 0.0541993 0.0523302 0.0465935 0.0428798 0.0286706 0.00901625
315 0.063652 0.0626068 0.0622318 0.0612479 0.048644 0.024225
325 0.0721166 0.076819 0.0822262 0.0871109 0.0851914 0.0614294
335 0.0863796 0.0960238 0.110532 0.128344 0.146096 0.147926
345 0.104502 0.117124 0.144478 0.1776 0.221137 0.3014
355 0.119287 0.146514 0.184266 0.22466 0.308227 0.486283
