x upper lower
0.5175 1.0648 -1.0648
0.52 1.05684 -1.05684
0.5225 1.04885 -1.04885
0.525 1.04082 -1.04082
0.5275 1.03276 -1.03276
0.53 1.02465 -1.02465
0.5325 1.0165 -1.0165
0.535 1.0083 -1.0083
0.5375 1.00005 -1.00005
0.54 0.991749 -0.991749
0.5425 0.983387 -0.983387
0.545 0.974966 -0.974966
0.5475 0.966481 -0.966481
0.55 0.957929 -0.957929
0.5525 0.949309 -0.949309
0.555 0.940618 -0.940618
0.5575 0.931853 -0.931853
0.56 0.923012 -0.923012
0.5625 0.914093 -0.914093
0.565 0.905094 -0.905094
0.5675 0.896013 -0.896013
0.57 0.886849 -0.886849
0.5725 0.8776 -0.8776
0.575 0.868264 -0.868264
0.5775 0.85884 -0.85884
0.58 0.849328 -0.849328
0.5825 0.839727 -0.839727
0.585 0.830035 -0.830035
0.5875 0.820253 -0.820253
0.59 0.81038 -0.81038
0.5925 0.800416 -0.800416
0.595 0.790361 -0.790361
0.5975 0.780215 -0.780215
0.6 0.769979 -0.769979
0.6025 0.759653 -0.759653
0.605 0.749239 -0.749239
0.6075 0.738737 -0.738737
0.61 0.728148 -0.728148
0.6125 0.717474 -0.717474
0.615 0.706717 -0.706717
0.6175 0.695878 -0.695878
0.62 0.68496 -0.68496
0.6225 0.673964 -0.673964
0.625 0.662893 -0.662893
0.6275 0.65175 -0.65175
0.63 0.640538 -0.640538
0.6325 0.629259 -0.629259
0.635 0.617918 -0.617918
0.6375 0.606516 -0.606516
0.64 0.595059 -0.595059
0.6425 0.583549 -0.583549
0.645 0.571991 -0.571991
0.6475 0.560389 -0.560389
0.65 0.548747 -0.548747
0.6525 0.53707 -0.53707
0.655 0.525364 -0.525364
0.6575 0.513631 -0.513631
0.66 0.501879 -0.501879
0.6625 0.490111 -0.490111
0.665 0.478335 -0.478335
0.6675 0.466554 -0.466554
0.67 0.454775 -0.454775
0.6725 0.443005 -0.443005
0.675 0.431248 -0.431248
0.6775 0.419511 -0.419511
0.68 0.407801 -0.407801
0.6825 0.396124 -0.396124
0.685 0.384488 -0.384488
0.6875 0.372897 -0.372897
0.69 0.36136 -0.36136
0.6925 0.349884 -0.349884
0.695 0.338475 -0.338475
0.6975 0.327141 -0.327141
0.7 0.31589 -0.31589
0.7025 0.304728 -0.304728
0.705 0.293663 -0.293663
0.7075 0.282703 -0.282703
0.71 0.271855 -0.271855
0.7125 0.261128 -0.261128
0.715 0.250528 -0.250528
0.7175 0.240064 -0.240064
0.72 0.229744 -0.229744
0.7225 0.219575 -0.219575
0.725 0.209566 -0.209566
0.7275 0.199724 -0.199724
0.73 0.190058 -0.190058
0.7325 0.180575 -0.180575
0.735 0.171283 -0.171283
0.7375 0.162191 -0.162191
0.74 0.153307 -0.153307
0.7425 0.144637 -0.144637
0.745 0.136191 -0.136191
0.7475 0.127976 -0.127976
0.75 0.12 -0.12
0.7525 0.112271 -0.112271
0.755 0.104796 -0.104796
0.7575 0.097583 -0.097583
0.76 0.09064 -0.09064
0.7625 0.0839741 -0.0839741
0.765 0.0775927 -0.0775927
0.7675 0.0715032 -0.0715032
0.77 0.0657128 -0.0657128
0.7725 0.0602286 -0.0602286
0.775 0.0550574 -0.0550574
0.7775 0.0502062 -0.0502062
0.78 0.0456816 -0.0456816
0.7825 0.0414902 -0.0414902
0.785 0.0376384 -0.0376384
0.7875 0.0341325 -0.0341325
0.79 0.0309784 -0.0309784
0.7925 0.0281822 -0.0281822
0.795 0.0257496 -0.0257496
0.7975 0.0236861 -0.0236861
0.8 0.0219972 -0.0219972
0.8025 0.0206879 -0.0206879
0.805 0.0197632 -0.0197632
0.8075 0.019228 -0.019228
0.81 0.0190867 -0.0190867
0.8125 0.0193438 -0.0193438
0.815 0.0200032 -0.0200032
0.8175 0.021069 -0.021069
0.82 0.0225446 -0.0225446
0.8225 0.0244337 -0.0244337
0.825 0.0267392 -0.0267392
0.8275 0.0294642 -0.0294642
0.83 0.0326113 -0.0326113
0.8325 0.036183 -0.036183
0.835 0.0401813 -0.0401813
0.8375 0.0446082 -0.0446082
0.84 0.0494653 -0.0494653
0.8425 0.054754 -0.054754
0.845 0.0604753 -0.0604753
0.8475 0.0666301 -0.0666301
0.85 0.0732189 -0.0732189
0.8525 0.0802419 -0.0802419
0.855 0.0876992 -0.0876992
0.8575 0.0955904 -0.0955904
0.86 0.103915 -0.103915
0.8625 0.112672 -0.112672
0.865 0.12186 -0.12186
0.8675 0.131478 -0.131478
0.87 0.141525 -0.141525
0.8725 0.151997 -0.151997
0.875 0.162893 -0.162893
0.8775 0.174211 -0.174211
0.88 0.185946 -0.185946
0.8825 0.198097 -0.198097
0.885 0.210659 -0.210659
0.8875 0.22363 -0.22363
0.89 0.237004 -0.237004
0.8925 0.250778 -0.250778
0.895 0.264947 -0.264947
0.8975 0.279506 -0.279506
0.9 0.294451 -0.294451
0.9025 0.309775 -0.309775
0.905 0.325473 -0.325473
0.9075 0.341539 -0.341539
0.91 0.357966 -0.357966
0.9125 0.37475 -0.37475
0.915 0.391882 -0.391882
0.9175 0.409356 -0.409356
0.92 0.427164 -0.427164
0.9225 0.4453 -0.4453
0.925 0.463755 -0.463755
0.9275 0.482522 -0.482522
0.93 0.501592 -0.501592
0.9325 0.520958 -0.520958
0.935 0.54061 -0.54061
0.9375 0.56054 -0.56054
0.94 0.580739 -0.580739
0.9425 0.601197 -0.601197
0.945 0.621906 -0.621906
0.9475 0.642856 -0.642856
0.95 0.664037 -0.664037
0.9525 0.685439 -0.685439
0.955 0.707052 -0.707052
0.9575 0.728867 -0.728867
0.96 0.750872 -0.750872
0.9625 0.773057 -0.773057
0.965 0.795412 -0.795412
0.9675 0.817926 -0.817926
0.97 0.840588 -0.840588
0.9725 0.863386 -0.863386
0.975 0.886311 -0.886311
0.9775 0.909351 -0.909351
0.98 0.932494 -0.932494
0.9825 0.95573 -0.95573
0.985 0.979046 -0.979046
0.9875 1.00243 -1.00243
0.99 1.02588 -1.02588
0.9925 1.04937 -1.04937
0.995 1.07289 -1.07289
0.9975 1.09644 -1.09644
1 1.12 -1.12
