# P(phi) [1/rad] at narrow section, m=3 beta=3
# columns d033 d1 d2 d3 d5 d10 = delta values
phi_deg d0333333 d1 d2 d3 d5 d10
5 0.502351 0.58808 0.661684 0.796785 0.81299 1.03678
15 0.58569 0.653189 0.725596 0.720743 0.720511 0.631084
25 0.532446 0.533472 0.441749 0.500883 0.378199 0.163702
35 0.256963 0.239433 0.265049 0.195064 0.091099 0.0201662
45 0.0671344 0.0525071 0.0338361 0.0181839 0.00966202 0.0023725
55 0 0.00210029 0 0 0 0
65 0 0 0 0 0 0
75 0 0 0 0.00165308 0 0
85 0 0.00210029 0 0 0 0
95 0 0 0 0 0 0
105 0.00231498 0 0 0.00165308 0 0.00118625
115 0.00231498 0 0 0 0 0.00118625
125 0 0 0 0.00165308 0 0
135 0.0601895 0.0462063 0.0300765 0.00991848 0.00966202 0.00355874
145 0.287058 0.260435 0.191738 0.19837 0.120085 0.0249112
155 0.55328 0.546074 0.492503 0.457903 0.415467 0.163702
165 0.675974 0.651088 0.69552 0.705865 0.76606 0.720053
175 0.59495 0.602782 0.650405 0.609987 0.828173 1.12219
185 0.402807 0.44316 0.426711 0.457903 0.518989 0.740219
195 0.289373 0.233132 0.240612 0.204982 0.229128 0.206407
205 0.129639 0.100814 0.0845902 0.0925725 0.0565918 0.023725
215 0.0486146 0.0420057 0.026317 0.0115716 0.00414087 0.00474499
225 0.00231498 0.00420057 0.0112787 0.00330616 0 0
235 0 0 0.00187978 0 0 0
245 0 0.00210029 0 0 0 0
255 0 0 0 0 0 0.00118625
265 0 0 0 0 0 0.00118625
275 0 0 0 0 0 0
285 0 0 0.00187978 0 0 0
295 0 0 0 0 0 0
305 0 0.00210029 0 0 0.00138029 0
315 0.00231498 0.00210029 0.00751913 0.00165308 0 0
325 0.0347247 0.0504068 0.0112787 0.019837 0.00828173 0.0023725
335 0.0995442 0.100814 0.0827104 0.081001 0.0469298 0.0166075
345 0.201403 0.199527 0.212415 0.229778 0.204283 0.18031
355 0.398177 0.37175 0.43423 0.408311 0.507946 0.661926
