# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.0550 0.61087 0.20813
0.0550 0.78540 0.28654
0.0550 0.95993 0.38209
0.0550 1.13446 0.46735
0.0550 1.30900 0.55341
0.0550 1.48353 0.58200
0.0550 1.65806 0.59005
0.0550 1.83260 0.53851
0.0550 2.00713 0.47293
0.0550 2.18166 0.38721
0.0550 2.35619 0.30115
0.0550 2.53073 0.20986
0.0550 2.70526 0.14796
0.0550 2.87979 0.09078
0.0550 3.05433 0.05764
0.0550 3.22886 0.03285
0.0550 3.40339 0.01927
0.0550 3.57792 0.00978
0.0550 3.75246 0.00616
0.0550 3.92699 0.00420
0.0550 4.10152 0.00247
0.0550 4.27606 0.00247
0.0550 4.45059 0.00161
0.0550 4.62512 0.00224
0.0550 4.79966 0.00150
0.0550 4.97419 0.00247
0.0550 5.14872 0.00213
0.0550 5.32325 0.00265
0.0550 5.49779 0.00500
0.0550 5.67232 0.00823
0.0550 5.84685 0.01329
0.0550 6.02139 0.01887
0.0550 6.19592 0.03032

0.0650 0.08727 0.05710
0.0650 0.26180 0.08559
0.0650 0.43633 0.13560
0.0650 0.61087 0.20989
0.0650 0.78540 0.28111
0.0650 0.95993 0.36925
0.0650 1.13446 0.46792
0.0650 1.30900 0.55419
0.0650 1.48353 0.59108
0.0650 1.65806 0.59201
0.0650 1.83260 0.55961
0.0650 2.00713 0.47944
0.0650 2.18166 0.38775
0.0650 2.35619 0.29299
0.0650 2.53073 0.20744
0.0650 2.70526 0.14081
0.0650 2.87979 0.09372
0.0650 3.05433 0.05720
0.0650 3.22886 0.03480
0.0650 3.40339 0.01855
0.0650 3.57792 0.01130
0.0650 3.75246 0.00583
0.0650 3.92699 0.00443
0.0650 4.10152 0.00307
0.0650 4.27606 0.00198
0.0650 4.45059 0.00125
0.0650 4.62512 0.00208
0.0650 4.79966 0.00182
0.0650 4.97419 0.00182
0.0650 5.14872 0.00234
0.0650 5.32325 0.00198
0.0650 5.49779 0.00516
0.0650 5.67232 0.00641
0.0650 5.84685 0.01120
0.0650 6.02139 0.01922
0.0650 6.19592 0.03360

0.0750 0.08727 0.05391
0.0750 0.26180 0.08570
0.0750 0.43633 0.13886
0.0750 0.61087 0.20244
0.0750 0.78540 0.28217
0.0750 0.95993 0.37240
0.0750 1.13446 0.46790
0.0750 1.30900 0.54411
0.0750 1.48353 0.60005
0.0750 1.65806 0.59575
0.0750 1.83260 0.55295
0.0750 2.00713 0.48266
0.0750 2.18166 0.37985
0.0750 2.35619 0.29063
0.0750 2.53073 0.21003
0.0750 2.70526 0.14229
0.0750 2.87979 0.09486
0.0750 3.05433 0.05858
0.0750 3.22886 0.03540
0.0750 3.40339 0.01985
0.0750 3.57792 0.01143
0.0750 3.75246 0.00740
0.0750 3.92699 0.00426
0.0750 4.10152 0.00366
0.0750 4.27606 0.00273
0.0750 4.45059 0.00199
0.0750 4.62512 0.00180
0.0750 4.79966 0.00190
0.0750 4.97419 0.00231
0.0750 5.14872 0.00264
0.0750 5.32325 0.00366
0.0750 5.49779 0.00495
0.0750 5.67232 0.00745
0.0750 5.84685 0.01198
0.0750 6.02139 0.01930
0.0750 6.19592 0.03174

0.0850 0.08727 0.05303
0.0850 0.26180 0.08595
0.0850 0.43633 0.13564
0.0850 0.61087 0.20626
0.0850 0.78540 0.28248
0.0850 0.95993 0.38611
0.0850 1.13446 0.47189
0.0850 1.30900 0.54481
0.0850 1.48353 0.58768
0.0850 1.65806 0.60214
0.0850 1.83260 0.54640
0.0850 2.00713 0.47862
0.0850 2.18166 0.37482
0.0850 2.35619 0.29459
0.0850 2.53073 0.21340
0.0850 2.70526 0.14542
0.0850 2.87979 0.08905
0.0850 3.05433 0.05666
0.0850 3.22886 0.03456
0.0850 3.40339 0.02144
0.0850 3.57792 0.01141
0.0850 3.75246 0.00723
0.0850 3.92699 0.00418
0.0850 4.10152 0.00384
0.0850 4.27606 0.00288
0.0850 4.45059 0.00263
0.0850 4.62512 0.00234
0.0850 4.79966 0.00213
0.0850 4.97419 0.00251
0.0850 5.14872 0.00247
0.0850 5.32325 0.00330
0.0850 5.49779 0.00518
0.0850 5.67232 0.00777
0.0850 5.84685 0.01107
0.0850 6.02139 0.01759
0.0850 6.19592 0.03209

0.0950 0.08727 0.05532
0.0950 0.26180 0.09021
0.0950 0.43633 0.14205
0.0950 0.61087 0.20006
0.0950 0.78540 0.29470
0.0950 0.95993 0.37978
0.0950 1.13446 0.47164
0.0950 1.30900 0.55904
0.0950 1.48353 0.58888
0.0950 1.65806 0.59030
0.0950 1.83260 0.54705
0.0950 2.00713 0.46932
0.0950 2.18166 0.38443
0.0950 2.35619 0.29215
0.0950 2.53073 0.21022
0.0950 2.70526 0.14201
0.0950 2.87979 0.08721
0.0950 3.05433 0.05554
0.0950 3.22886 0.03471
0.0950 3.40339 0.01698
0.0950 3.57792 0.01226
0.0950 3.75246 0.00682
0.0950 3.92699 0.00427
0.0950 4.10152 0.00345
0.0950 4.27606 0.00270
0.0950 4.45059 0.00262
0.0950 4.62512 0.00266
0.0950 4.79966 0.00255
0.0950 4.97419 0.00202
0.0950 5.14872 0.00251
0.0950 5.32325 0.00319
0.0950 5.49779 0.00487
0.0950 5.67232 0.00645
0.0950 5.84685 0.01124
0.0950 6.02139 0.01919
0.0950 6.19592 0.03118

0.1050 0.08727 0.05595
0.1050 0.26180 0.09191
0.1050 0.43633 0.13849
0.1050 0.61087 0.20937
0.1050 0.78540 0.29072
0.1050 0.95993 0.38939
0.1050 1.13446 0.47830
0.1050 1.30900 0.54201
0.1050 1.48353 0.58403
0.1050 1.65806 0.58993
0.1050 1.83260 0.54451
0.1050 2.00713 0.47003
0.1050 2.18166 0.37812
0.1050 2.35619 0.29465
0.1050 2.53073 0.21204
0.1050 2.70526 0.14199
0.1050 2.87979 0.08781
0.1050 3.05433 0.05425
0.1050 3.22886 0.03232
0.1050 3.40339 0.01776
0.1050 3.57792 0.01200
0.1050 3.75246 0.00753
0.1050 3.92699 0.00540
0.1050 4.10152 0.00297
0.1050 4.27606 0.00277
0.1050 4.45059 0.00287
0.1050 4.62512 0.00207
0.1050 4.79966 0.00213
0.1050 4.97419 0.00220
0.1050 5.14872 0.00280
0.1050 5.32325 0.00333
0.1050 5.49779 0.00503
0.1050 5.67232 0.00723
0.1050 5.84685 0.01330
0.1050 6.02139 0.02076
0.1050 6.19592 0.03362

0.1150 0.08727 0.05504
0.1150 0.26180 0.09244
0.1150 0.43633 0.13913
0.1150 0.61087 0.20673
0.1150 0.78540 0.29516
0.1150 0.95993 0.39093
0.1150 1.13446 0.47612
0.1150 1.30900 0.54018
0.1150 1.48353 0.58206
0.1150 1.65806 0.58787
0.1150 1.83260 0.54752
0.1150 2.00713 0.47166
0.1150 2.18166 0.38680
0.1150 2.35619 0.29549
0.1150 2.53073 0.20900
0.1150 2.70526 0.13707
0.1150 2.87979 0.08778
0.1150 3.05433 0.05430
0.1150 3.22886 0.03227
0.1150 3.40339 0.01897
0.1150 3.57792 0.01230
0.1150 3.75246 0.00714
0.1150 3.92699 0.00469
0.1150 4.10152 0.00268
0.1150 4.27606 0.00257
0.1150 4.45059 0.00251
0.1150 4.62512 0.00198
0.1150 4.79966 0.00168
0.1150 4.97419 0.00177
0.1150 5.14872 0.00227
0.1150 5.32325 0.00339
0.1150 5.49779 0.00451
0.1150 5.67232 0.00767
0.1150 5.84685 0.01180
0.1150 6.02139 0.02135
0.1150 6.19592 0.03475

0.1250 0.08727 0.05749
0.1250 0.26180 0.09417
0.1250 0.43633 0.14439
0.1250 0.61087 0.21191
0.1250 0.78540 0.29295
0.1250 0.95993 0.38555
0.1250 1.13446 0.47475
0.1250 1.30900 0.53978
0.1250 1.48353 0.57381
0.1250 1.65806 0.58058
0.1250 1.83260 0.53794
0.1250 2.00713 0.47263
0.1250 2.18166 0.38460
0.1250 2.35619 0.29933
0.1250 2.53073 0.20795
0.1250 2.70526 0.14313
0.1250 2.87979 0.09123
0.1250 3.05433 0.05728
0.1250 3.22886 0.03578
0.1250 3.40339 0.01993
0.1250 3.57792 0.01326
0.1250 3.75246 0.00830
0.1250 3.92699 0.00470
0.1250 4.10152 0.00281
0.1250 4.27606 0.00200
0.1250 4.45059 0.00147
0.1250 4.62512 0.00176
0.1250 4.79966 0.00207
0.1250 4.97419 0.00179
0.1250 5.14872 0.00234
0.1250 5.32325 0.00344
0.1250 5.49779 0.00449
0.1250 5.67232 0.00837
0.1250 5.84685 0.01221
0.1250 6.02139 0.01977
0.1250 6.19592 0.03562

0.1350 0.08727 0.05915
0.1350 0.26180 0.09315
0.1350 0.43633 0.14612
0.1350 0.61087 0.21605
0.1350 0.78540 0.29670
0.1350 0.95993 0.38249
0.1350 1.13446 0.47106
0.1350 1.30900 0.53118
0.1350 1.48353 0.57671
0.1350 1.65806 0.57039
0.1350 1.83260 0.53795
0.1350 2.00713 0.47675
0.1350 2.18166 0.38624
0.1350 2.35619 0.29601
0.1350 2.53073 0.21419
0.1350 2.70526 0.14355
0.1350 2.87979 0.09603
0.1350 3.05433 0.05856
0.1350 3.22886 0.03464
0.1350 3.40339 0.02062
0.1350 3.57792 0.01088
0.1350 3.75246 0.00793
0.1350 3.92699 0.00521
0.1350 4.10152 0.00304
0.1350 4.27606 0.00231
0.1350 4.45059 0.00205
0.1350 4.62512 0.00149
0.1350 4.79966 0.00142
0.1350 4.97419 0.00191
0.1350 5.14872 0.00238
0.1350 5.32325 0.00304
0.1350 5.49779 0.00481
0.1350 5.67232 0.00720
0.1350 5.84685 0.01300
0.1350 6.02139 0.02022
0.1350 6.19592 0.03516

0.1450 0.08727 0.05863
0.1450 0.26180 0.09574
0.1450 0.43633 0.14782
0.1450 0.61087 0.21782
0.1450 0.78540 0.29772
0.1450 0.95993 0.39041
0.1450 1.13446 0.46925
0.1450 1.30900 0.52962
0.1450 1.48353 0.57239
0.1450 1.65806 0.57095
0.1450 1.83260 0.53738
0.1450 2.00713 0.47093
0.1450 2.18166 0.38409
0.1450 2.35619 0.29929
0.1450 2.53073 0.21190
0.1450 2.70526 0.14699
0.1450 2.87979 0.09212
0.1450 3.05433 0.05954
0.1450 3.22886 0.03386
0.1450 3.40339 0.02063
0.1450 3.57792 0.01319
0.1450 3.75246 0.00725
0.1450 3.92699 0.00507
0.1450 4.10152 0.00316
0.1450 4.27606 0.00242
0.1450 4.45059 0.00229
0.1450 4.62512 0.00155
0.1450 4.79966 0.00148
0.1450 4.97419 0.00206
0.1450 5.14872 0.00197
0.1450 5.32325 0.00344
0.1450 5.49779 0.00390
0.1450 5.67232 0.00691
0.1450 5.84685 0.01211
0.1450 6.02139 0.02123
0.1450 6.19592 0.03444

0.1550 0.08727 0.05927
0.1550 0.26180 0.09692
0.1550 0.43633 0.14822
0.1550 0.61087 0.21905
0.1550 0.78540 0.30039
0.1550 0.95993 0.38440
0.1550 1.13446 0.46754
0.1550 1.30900 0.53709
0.1550 1.48353 0.57643
0.1550 1.65806 0.57433
0.1550 1.83260 0.53523
0.1550 2.00713 0.46781
0.1550 2.18166 0.38018
0.1550 2.35619 0.29509
0.1550 2.53073 0.21309
0.1550 2.70526 0.14707
0.1550 2.87979 0.09207
0.1550 3.05433 0.05676
0.1550 3.22886 0.03452
0.1550 3.40339 0.02153
0.1550 3.57792 0.01310
0.1550 3.75246 0.00799
0.1550 3.92699 0.00475
0.1550 4.10152 0.00360
0.1550 4.27606 0.00188
0.1550 4.45059 0.00178
0.1550 4.62512 0.00151
0.1550 4.79966 0.00176
0.1550 4.97419 0.00174
0.1550 5.14872 0.00190
0.1550 5.32325 0.00272
0.1550 5.49779 0.00427
0.1550 5.67232 0.00726
0.1550 5.84685 0.01190
0.1550 6.02139 0.02073
0.1550 6.19592 0.03567

0.1650 0.08727 0.05927
0.1650 0.26180 0.09589
0.1650 0.43633 0.14842
0.1650 0.61087 0.22121
0.1650 0.78540 0.30066
0.1650 0.95993 0.38778
0.1650 1.13446 0.46480
0.1650 1.30900 0.53278
0.1650 1.48353 0.56688
0.1650 1.65806 0.56572
0.1650 1.83260 0.52793
0.1650 2.00713 0.47023
0.1650 2.18166 0.38728
0.1650 2.35619 0.29902
0.1650 2.53073 0.21599
0.1650 2.70526 0.14846
0.1650 2.87979 0.09797
0.1650 3.05433 0.05911
0.1650 3.22886 0.03562
0.1650 3.40339 0.02141
0.1650 3.57792 0.01314
0.1650 3.75246 0.00871
0.1650 3.92699 0.00517
0.1650 4.10152 0.00342
0.1650 4.27606 0.00202
0.1650 4.45059 0.00166
0.1650 4.62512 0.00133
0.1650 4.79966 0.00133
0.1650 4.97419 0.00164
0.1650 5.14872 0.00209
0.1650 5.32325 0.00305
0.1650 5.49779 0.00464
0.1650 5.67232 0.00673
0.1650 5.84685 0.01219
0.1650 6.02139 0.02047
