sin_wide sin_narrow v Deff m beta delta
0.642126 0.267874 0.51836 0.216153 3 0.5 0.333333
0.623317 0.256107 0.537515 0.21882 3 0.5 1
0.598255 0.259215 0.587121 0.23595 3 0.5 2
0.570921 0.262434 0.605151 0.240514 3 0.5 3
0.519694 0.248406 0.661719 0.259844 3 0.5 5
0.409476 0.237667 0.791374 0.265638 3 0.5 10
0.665556 0.272826 0.481479 0.202403 3 1 0.333333
0.630554 0.262084 0.537637 0.235052 3 1 1
0.578543 0.257561 0.657761 0.261647 3 1 2
0.526877 0.252548 0.693186 0.272028 3 1 3
0.434684 0.237625 0.811499 0.320899 3 1 5
0.29281 0.219227 0.948027 0.389262 3 1 10
0.734681 0.275134 0.394544 0.174559 3 2 0.333333
0.673835 0.266804 0.487105 0.209299 3 2 1
0.568093 0.260885 0.627886 0.23645 3 2 2
0.474372 0.246221 0.717537 0.325348 3 2 3
0.338446 0.230049 0.848212 0.346507 3 2 5
0.211118 0.186961 0.917435 0.326737 3 2 10
0.792511 0.284872 0.291217 0.134656 3 3 0.333333
0.71292 0.277023 0.413205 0.155624 3 3 1
0.571117 0.259251 0.604665 0.25454 3 3 2
0.440655 0.249586 0.773267 0.302846 3 3 3
0.29045 0.21846 0.923674 0.347135 3 3 5
0.179642 0.166549 0.970851 0.381977 3 3 10
