# m=6  f=10
# delta = |Delta alpha| E / p
# v=L/T1, se*=bootstrap SE, sinw/sinn=<|sin phi|> at wide/narrow section
delta v_b05 v_b1 v_b2 v_b3 sev_b05 sev_b1 sev_b2 sev_b3 D_b05 D_b1 D_b2 D_b3 seD_b05 seD_b1 seD_b2 seD_b3 mu_b05 mu_b1 mu_b2 mu_b3 T1_b05 T1_b1 T1_b2 T1_b3 sinw_b05 sinw_b1 sinw_b2 sinw_b3 sinn_b05 sinn_b1 sinn_b2 sinn_b3
0.333333 0.26014 0.259598 0.18453 0.145227 0.00756355 0.00742713 0.00561317 0.00446588 0.114735 0.115659 0.0787649 0.0667611 0.00820586 0.0079629 0.00479349 0.0043417 0.026014 0.0259598 0.018453 0.0145227 3.84409 3.85211 5.41918 6.88577 0.642048 0.667939 0.736274 0.79356 0.248895 0.249859 0.261212 0.276752
1 0.286773 0.263987 0.248886 0.212486 0.00805595 0.00784057 0.00778473 0.0066352 0.115722 0.112306 0.12021 0.0980138 0.00767314 0.00723375 0.00879627 0.00744012 0.0286773 0.0263987 0.0248886 0.0212486 3.48708 3.78807 4.01791 4.70618 0.625463 0.634202 0.671195 0.713087 0.252145 0.248916 0.258211 0.271453
2 0.308938 0.30411 0.329265 0.329168 0.00898471 0.00893441 0.00975741 0.00924724 0.1252 0.130517 0.147587 0.134912 0.00853469 0.00819839 0.00910856 0.00831492 0.0308938 0.030411 0.0329265 0.0329168 3.2369 3.28829 3.03707 3.03797 0.599986 0.580912 0.571814 0.56994 0.249794 0.247736 0.243826 0.25468
3 0.331851 0.355996 0.430128 0.438977 0.0099232 0.0103126 0.0130687 0.0125096 0.151654 0.136138 0.198988 0.174284 0.0104614 0.00788631 0.0139593 0.0123679 0.0331851 0.0355996 0.0430128 0.0438977 3.0134 2.80902 2.32489 2.27802 0.571707 0.52743 0.475493 0.441716 0.24468 0.2426 0.237661 0.241684
5 0.369958 0.443559 0.49114 0.522849 0.0103099 0.0120022 0.013639 0.0143507 0.148053 0.160934 0.193816 0.200201 0.0115048 0.00877841 0.0132413 0.0124858 0.0369958 0.0443559 0.049114 0.0522849 2.70301 2.25449 2.03608 1.9126 0.52346 0.43632 0.340687 0.290283 0.241671 0.228155 0.21846 0.211265
10 0.463744 0.52234 0.596669 0.557877 0.0136335 0.0153044 0.0158929 0.0160833 0.185069 0.204613 0.228184 0.217959 0.0153255 0.0128578 0.0130876 0.0162329 0.0463744 0.052234 0.0596669 0.0557877 2.15636 1.91446 1.67597 1.79251 0.410535 0.293928 0.210929 0.180589 0.226396 0.205482 0.182344 0.164816
