# v(beta,delta) for m=3. blank line separates beta scans
delta log2delta beta v Deff mu
0.333333 -1.58496 0.5 0.51836 0.216153 0.051836
1 0 0.5 0.537515 0.21882 0.0537515
2 1 0.5 0.587121 0.23595 0.0587121
3 1.58496 0.5 0.605151 0.240514 0.0605151
5 2.32193 0.5 0.661719 0.259844 0.0661719
10 3.32193 0.5 0.791374 0.265638 0.0791374

0.333333 -1.58496 1 0.481479 0.202403 0.0481479
1 0 1 0.537637 0.235052 0.0537637
2 1 1 0.657761 0.261647 0.0657761
3 1.58496 1 0.693186 0.272028 0.0693186
5 2.32193 1 0.811499 0.320899 0.0811499
10 3.32193 1 0.948027 0.389262 0.0948027

0.333333 -1.58496 2 0.394544 0.174559 0.0394544
1 0 2 0.487105 0.209299 0.0487105
2 1 2 0.627886 0.23645 0.0627886
3 1.58496 2 0.717537 0.325348 0.0717537
5 2.32193 2 0.848212 0.346507 0.0848212
10 3.32193 2 0.917435 0.326737 0.0917435

0.333333 -1.58496 3 0.291217 0.134656 0.0291217
1 0 3 0.413205 0.155624 0.0413205
2 1 3 0.604665 0.25454 0.0604665
3 1.58496 3 0.773267 0.302846 0.0773267
5 2.32193 3 0.923674 0.347135 0.0923674
10 3.32193 3 0.970851 0.381977 0.0970851

