# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.0050 0.08727 0.95700
0.0050 0.26180 0.65427
0.0050 0.43633 0.20982
0.0050 0.61087 0.04931
0.0050 0.78540 0.00457
0.0050 0.95993 0.00114
0.0050 1.13446 0.00033
0.0050 1.30900 0.00000
0.0050 1.48353 0.00016
0.0050 1.65806 0.00000
0.0050 1.83260 0.00033
0.0050 2.00713 0.00033
0.0050 2.18166 0.00033
0.0050 2.35619 0.00784
0.0050 2.53073 0.04866
0.0050 2.70526 0.25929
0.0050 2.87979 0.78294
0.0050 3.05433 1.10722
0.0050 3.22886 0.66978
0.0050 3.40339 0.19333
0.0050 3.57792 0.02319
0.0050 3.75246 0.00229
0.0050 3.92699 0.00049
0.0050 4.10152 0.00000
0.0050 4.27606 0.00000
0.0050 4.45059 0.00000
0.0050 4.62512 0.00000
0.0050 4.79966 0.00000
0.0050 4.97419 0.00000
0.0050 5.14872 0.00000
0.0050 5.32325 0.00000
0.0050 5.49779 0.00000
0.0050 5.67232 0.00245
0.0050 5.84685 0.02253
0.0050 6.02139 0.15300
0.0050 6.19592 0.57900

0.0150 0.08727 0.93457
0.0150 0.26180 0.66611
0.0150 0.43633 0.22041
0.0150 0.61087 0.04256
0.0150 0.78540 0.00503
0.0150 0.95993 0.00137
0.0150 1.13446 0.00031
0.0150 1.30900 0.00015
0.0150 1.48353 0.00000
0.0150 1.65806 0.00000
0.0150 1.83260 0.00000
0.0150 2.00713 0.00000
0.0150 2.18166 0.00031
0.0150 2.35619 0.00641
0.0150 2.53073 0.04561
0.0150 2.70526 0.25824
0.0150 2.87979 0.77944
0.0150 3.05433 1.11440
0.0150 3.22886 0.68990
0.0150 3.40339 0.18731
0.0150 3.57792 0.02166
0.0150 3.75246 0.00137
0.0150 3.92699 0.00015
0.0150 4.10152 0.00000
0.0150 4.27606 0.00000
0.0150 4.45059 0.00000
0.0150 4.62512 0.00000
0.0150 4.79966 0.00031
0.0150 4.97419 0.00015
0.0150 5.14872 0.00061
0.0150 5.32325 0.00061
0.0150 5.49779 0.00015
0.0150 5.67232 0.00061
0.0150 5.84685 0.02105
0.0150 6.02139 0.14796
0.0150 6.19592 0.58283

0.0250 0.08727 0.94900
0.0250 0.26180 0.66754
0.0250 0.43633 0.23106
0.0250 0.61087 0.04483
0.0250 0.78540 0.00586
0.0250 0.95993 0.00073
0.0250 1.13446 0.00044
0.0250 1.30900 0.00000
0.0250 1.48353 0.00000
0.0250 1.65806 0.00000
0.0250 1.83260 0.00000
0.0250 2.00713 0.00029
0.0250 2.18166 0.00073
0.0250 2.35619 0.00659
0.0250 2.53073 0.04894
0.0250 2.70526 0.24996
0.0250 2.87979 0.76629
0.0250 3.05433 1.10386
0.0250 3.22886 0.68805
0.0250 3.40339 0.18403
0.0250 3.57792 0.02227
0.0250 3.75246 0.00264
0.0250 3.92699 0.00015
0.0250 4.10152 0.00015
0.0250 4.27606 0.00015
0.0250 4.45059 0.00015
0.0250 4.62512 0.00000
0.0250 4.79966 0.00000
0.0250 4.97419 0.00015
0.0250 5.14872 0.00000
0.0250 5.32325 0.00000
0.0250 5.49779 0.00059
0.0250 5.67232 0.00234
0.0250 5.84685 0.02418
0.0250 6.02139 0.15560
0.0250 6.19592 0.57303

0.0350 0.08727 0.95777
0.0350 0.26180 0.66336
0.0350 0.43633 0.23062
0.0350 0.61087 0.03816
0.0350 0.78540 0.00668
0.0350 0.95993 0.00109
0.0350 1.13446 0.00014
0.0350 1.30900 0.00000
0.0350 1.48353 0.00000
0.0350 1.65806 0.00014
0.0350 1.83260 0.00014
0.0350 2.00713 0.00027
0.0350 2.18166 0.00191
0.0350 2.35619 0.00600
0.0350 2.53073 0.04770
0.0350 2.70526 0.26551
0.0350 2.87979 0.78099
0.0350 3.05433 1.09693
0.0350 3.22886 0.67372
0.0350 3.40339 0.18959
0.0350 3.57792 0.02385
0.0350 3.75246 0.00218
0.0350 3.92699 0.00014
0.0350 4.10152 0.00027
0.0350 4.27606 0.00014
0.0350 4.45059 0.00027
0.0350 4.62512 0.00000
0.0350 4.79966 0.00014
0.0350 4.97419 0.00000
0.0350 5.14872 0.00000
0.0350 5.32325 0.00000
0.0350 5.49779 0.00055
0.0350 5.67232 0.00273
0.0350 5.84685 0.02017
0.0350 6.02139 0.15184
0.0350 6.19592 0.56659

0.0450 0.08727 0.94738
0.0450 0.26180 0.66781
0.0450 0.43633 0.23304
0.0450 0.61087 0.04554
0.0450 0.78540 0.00582
0.0450 0.95993 0.00037
0.0450 1.13446 0.00012
0.0450 1.30900 0.00000
0.0450 1.48353 0.00012
0.0450 1.65806 0.00000
0.0450 1.83260 0.00012
0.0450 2.00713 0.00062
0.0450 2.18166 0.00186
0.0450 2.35619 0.00804
0.0450 2.53073 0.04270
0.0450 2.70526 0.27388
0.0450 2.87979 0.79429
0.0450 3.05433 1.09874
0.0450 3.22886 0.65729
0.0450 3.40339 0.18985
0.0450 3.57792 0.02215
0.0450 3.75246 0.00161
0.0450 3.92699 0.00012
0.0450 4.10152 0.00012
0.0450 4.27606 0.00037
0.0450 4.45059 0.00012
0.0450 4.62512 0.00000
0.0450 4.79966 0.00012
0.0450 4.97419 0.00012
0.0450 5.14872 0.00012
0.0450 5.32325 0.00025
0.0450 5.49779 0.00012
0.0450 5.67232 0.00248
0.0450 5.84685 0.02203
0.0450 6.02139 0.14888
0.0450 6.19592 0.56335

0.0550 0.08727 0.93806
0.0550 0.26180 0.66705
0.0550 0.43633 0.23434
0.0550 0.61087 0.04054
0.0550 0.78540 0.00490
0.0550 0.95993 0.00068
0.0550 1.13446 0.00011
0.0550 1.30900 0.00000
0.0550 1.48353 0.00000
0.0550 1.65806 0.00000
0.0550 1.83260 0.00000
0.0550 2.00713 0.00011
0.0550 2.18166 0.00125
0.0550 2.35619 0.00501
0.0550 2.53073 0.04919
0.0550 2.70526 0.27112
0.0550 2.87979 0.77853
0.0550 3.05433 1.08950
0.0550 3.22886 0.66204
0.0550 3.40339 0.18595
0.0550 3.57792 0.02357
0.0550 3.75246 0.00205
0.0550 3.92699 0.00023
0.0550 4.10152 0.00011
0.0550 4.27606 0.00000
0.0550 4.45059 0.00011
0.0550 4.62512 0.00000
0.0550 4.79966 0.00011
0.0550 4.97419 0.00023
0.0550 5.14872 0.00000
0.0550 5.32325 0.00000
0.0550 5.49779 0.00011
0.0550 5.67232 0.00171
0.0550 5.84685 0.02084
0.0550 6.02139 0.16352
0.0550 6.19592 0.58859

0.0650 0.08727 0.94646
0.0650 0.26180 0.66910
0.0650 0.43633 0.22220
0.0650 0.61087 0.04121
0.0650 0.78540 0.00510
0.0650 0.95993 0.00104
0.0650 1.13446 0.00010
0.0650 1.30900 0.00000
0.0650 1.48353 0.00000
0.0650 1.65806 0.00000
0.0650 1.83260 0.00000
0.0650 2.00713 0.00000
0.0650 2.18166 0.00094
0.0650 2.35619 0.00676
0.0650 2.53073 0.04704
0.0650 2.70526 0.26862
0.0650 2.87979 0.77068
0.0650 3.05433 1.08905
0.0650 3.22886 0.68232
0.0650 3.40339 0.18307
0.0650 3.57792 0.02165
0.0650 3.75246 0.00208
0.0650 3.92699 0.00021
0.0650 4.10152 0.00010
0.0650 4.27606 0.00000
0.0650 4.45059 0.00000
0.0650 4.62512 0.00000
0.0650 4.79966 0.00021
0.0650 4.97419 0.00010
0.0650 5.14872 0.00010
0.0650 5.32325 0.00021
0.0650 5.49779 0.00000
0.0650 5.67232 0.00146
0.0650 5.84685 0.01998
0.0650 6.02139 0.15757
0.0650 6.19592 0.59219

0.0750 0.08727 0.96809
0.0750 0.26180 0.65840
0.0750 0.43633 0.22508
0.0750 0.61087 0.04093
0.0750 0.78540 0.00501
0.0750 0.95993 0.00076
0.0750 1.13446 0.00019
0.0750 1.30900 0.00000
0.0750 1.48353 0.00000
0.0750 1.65806 0.00019
0.0750 1.83260 0.00000
0.0750 2.00713 0.00019
0.0750 2.18166 0.00123
0.0750 2.35619 0.00681
0.0750 2.53073 0.05029
0.0750 2.70526 0.26440
0.0750 2.87979 0.77751
0.0750 3.05433 1.08077
0.0750 3.22886 0.66852
0.0750 3.40339 0.18547
0.0750 3.57792 0.01966
0.0750 3.75246 0.00170
0.0750 3.92699 0.00019
0.0750 4.10152 0.00000
0.0750 4.27606 0.00000
0.0750 4.45059 0.00000
0.0750 4.62512 0.00000
0.0750 4.79966 0.00000
0.0750 4.97419 0.00000
0.0750 5.14872 0.00009
0.0750 5.32325 0.00009
0.0750 5.49779 0.00038
0.0750 5.67232 0.00189
0.0750 5.84685 0.02155
0.0750 6.02139 0.16051
0.0750 6.19592 0.58968

0.0850 0.08727 0.96903
0.0850 0.26180 0.67140
0.0850 0.43633 0.24159
0.0850 0.61087 0.04143
0.0850 0.78540 0.00479
0.0850 0.95993 0.00101
0.0850 1.13446 0.00000
0.0850 1.30900 0.00000
0.0850 1.48353 0.00000
0.0850 1.65806 0.00000
0.0850 1.83260 0.00008
0.0850 2.00713 0.00050
0.0850 2.18166 0.00050
0.0850 2.35619 0.00504
0.0850 2.53073 0.04865
0.0850 2.70526 0.25310
0.0850 2.87979 0.76644
0.0850 3.05433 1.08642
0.0850 3.22886 0.66963
0.0850 3.40339 0.17982
0.0850 3.57792 0.02302
0.0850 3.75246 0.00176
0.0850 3.92699 0.00008
0.0850 4.10152 0.00000
0.0850 4.27606 0.00000
0.0850 4.45059 0.00000
0.0850 4.62512 0.00000
0.0850 4.79966 0.00000
0.0850 4.97419 0.00000
0.0850 5.14872 0.00000
0.0850 5.32325 0.00000
0.0850 5.49779 0.00008
0.0850 5.67232 0.00126
0.0850 5.84685 0.02168
0.0850 6.02139 0.16562
0.0850 6.19592 0.57661

0.0950 0.08727 0.97088
0.0950 0.26180 0.68423
0.0950 0.43633 0.23147
0.0950 0.61087 0.04259
0.0950 0.78540 0.00660
0.0950 0.95993 0.00099
0.0950 1.13446 0.00000
0.0950 1.30900 0.00008
0.0950 1.48353 0.00000
0.0950 1.65806 0.00000
0.0950 1.83260 0.00015
0.0950 2.00713 0.00008
0.0950 2.18166 0.00046
0.0950 2.35619 0.00486
0.0950 2.53073 0.04494
0.0950 2.70526 0.25219
0.0950 2.87979 0.75756
0.0950 3.05433 1.07238
0.0950 3.22886 0.66487
0.0950 3.40339 0.17582
0.0950 3.57792 0.02331
0.0950 3.75246 0.00243
0.0950 3.92699 0.00030
0.0950 4.10152 0.00000
0.0950 4.27606 0.00000
0.0950 4.45059 0.00000
0.0950 4.62512 0.00000
0.0950 4.79966 0.00000
0.0950 4.97419 0.00000
0.0950 5.14872 0.00008
0.0950 5.32325 0.00015
0.0950 5.49779 0.00008
0.0950 5.67232 0.00266
0.0950 5.84685 0.02331
0.0950 6.02139 0.16102
0.0950 6.19592 0.60611

0.1050 0.08727 0.95271
0.1050 0.26180 0.67476
0.1050 0.43633 0.22686
0.1050 0.61087 0.04425
0.1050 0.78540 0.00541
0.1050 0.95993 0.00088
0.1050 1.13446 0.00000
0.1050 1.30900 0.00000
0.1050 1.48353 0.00000
0.1050 1.65806 0.00000
0.1050 1.83260 0.00000
0.1050 2.00713 0.00007
0.1050 2.18166 0.00034
0.1050 2.35619 0.00629
0.1050 2.53073 0.04682
0.1050 2.70526 0.26042
0.1050 2.87979 0.77280
0.1050 3.05433 1.08207
0.1050 3.22886 0.67104
0.1050 3.40339 0.18045
0.1050 3.57792 0.02192
0.1050 3.75246 0.00169
0.1050 3.92699 0.00020
0.1050 4.10152 0.00000
0.1050 4.27606 0.00000
0.1050 4.45059 0.00000
0.1050 4.62512 0.00000
0.1050 4.79966 0.00000
0.1050 4.97419 0.00007
0.1050 5.14872 0.00000
0.1050 5.32325 0.00007
0.1050 5.49779 0.00020
0.1050 5.67232 0.00183
0.1050 5.84685 0.02246
0.1050 6.02139 0.16346
0.1050 6.19592 0.59249

0.1150 0.08727 0.97186
0.1150 0.26180 0.68094
0.1150 0.43633 0.23446
0.1150 0.61087 0.04371
0.1150 0.78540 0.00551
0.1150 0.95993 0.00036
0.1150 1.13446 0.00012
0.1150 1.30900 0.00000
0.1150 1.48353 0.00000
0.1150 1.65806 0.00012
0.1150 1.83260 0.00006
0.1150 2.00713 0.00042
0.1150 2.18166 0.00078
0.1150 2.35619 0.00557
0.1150 2.53073 0.04910
0.1150 2.70526 0.25320
0.1150 2.87979 0.77470
0.1150 3.05433 1.07568
0.1150 3.22886 0.65460
0.1150 3.40339 0.17585
0.1150 3.57792 0.02407
0.1150 3.75246 0.00144
0.1150 3.92699 0.00012
0.1150 4.10152 0.00000
0.1150 4.27606 0.00000
0.1150 4.45059 0.00000
0.1150 4.62512 0.00000
0.1150 4.79966 0.00000
0.1150 4.97419 0.00000
0.1150 5.14872 0.00006
0.1150 5.32325 0.00000
0.1150 5.49779 0.00006
0.1150 5.67232 0.00114
0.1150 5.84685 0.02072
0.1150 6.02139 0.16154
0.1150 6.19592 0.59340

0.1250 0.08727 0.97443
0.1250 0.26180 0.68343
0.1250 0.43633 0.23065
0.1250 0.61087 0.04158
0.1250 0.78540 0.00496
0.1250 0.95993 0.00048
0.1250 1.13446 0.00005
0.1250 1.30900 0.00000
0.1250 1.48353 0.00000
0.1250 1.65806 0.00005
0.1250 1.83260 0.00011
0.1250 2.00713 0.00043
0.1250 2.18166 0.00080
0.1250 2.35619 0.00554
0.1250 2.53073 0.04595
0.1250 2.70526 0.25000
0.1250 2.87979 0.75023
0.1250 3.05433 1.08930
0.1250 3.22886 0.65300
0.1250 3.40339 0.17809
0.1250 3.57792 0.02228
0.1250 3.75246 0.00149
0.1250 3.92699 0.00016
0.1250 4.10152 0.00000
0.1250 4.27606 0.00005
0.1250 4.45059 0.00000
0.1250 4.62512 0.00000
0.1250 4.79966 0.00000
0.1250 4.97419 0.00000
0.1250 5.14872 0.00000
0.1250 5.32325 0.00011
0.1250 5.49779 0.00011
0.1250 5.67232 0.00165
0.1250 5.84685 0.02020
0.1250 6.02139 0.16551
0.1250 6.19592 0.60891

0.1350 0.08727 0.97282
0.1350 0.26180 0.69566
0.1350 0.43633 0.22718
0.1350 0.61087 0.04478
0.1350 0.78540 0.00525
0.1350 0.95993 0.00076
0.1350 1.13446 0.00014
0.1350 1.30900 0.00005
0.1350 1.48353 0.00000
0.1350 1.65806 0.00005
0.1350 1.83260 0.00005
0.1350 2.00713 0.00010
0.1350 2.18166 0.00081
0.1350 2.35619 0.00683
0.1350 2.53073 0.04659
0.1350 2.70526 0.25740
0.1350 2.87979 0.76746
0.1350 3.05433 1.05259
0.1350 3.22886 0.66330
0.1350 3.40339 0.17853
0.1350 3.57792 0.02167
0.1350 3.75246 0.00143
0.1350 3.92699 0.00014
0.1350 4.10152 0.00000
0.1350 4.27606 0.00000
0.1350 4.45059 0.00010
0.1350 4.62512 0.00005
0.1350 4.79966 0.00000
0.1350 4.97419 0.00005
0.1350 5.14872 0.00000
0.1350 5.32325 0.00000
0.1350 5.49779 0.00010
0.1350 5.67232 0.00239
0.1350 5.84685 0.02100
0.1350 6.02139 0.16121
0.1350 6.19592 0.60110

0.1450 0.08727 0.96698
0.1450 0.26180 0.69440
0.1450 0.43633 0.23311
0.1450 0.61087 0.04050
0.1450 0.78540 0.00459
0.1450 0.95993 0.00055
0.1450 1.13446 0.00013
0.1450 1.30900 0.00000
0.1450 1.48353 0.00000
0.1450 1.65806 0.00004
0.1450 1.83260 0.00000
0.1450 2.00713 0.00004
0.1450 2.18166 0.00081
0.1450 2.35619 0.00553
0.1450 2.53073 0.04458
0.1450 2.70526 0.25608
0.1450 2.87979 0.76382
0.1450 3.05433 1.06359
0.1450 3.22886 0.65513
0.1450 3.40339 0.17930
0.1450 3.57792 0.02344
0.1450 3.75246 0.00162
0.1450 3.92699 0.00004
0.1450 4.10152 0.00004
0.1450 4.27606 0.00009
0.1450 4.45059 0.00004
0.1450 4.62512 0.00000
0.1450 4.79966 0.00000
0.1450 4.97419 0.00000
0.1450 5.14872 0.00000
0.1450 5.32325 0.00000
0.1450 5.49779 0.00009
0.1450 5.67232 0.00140
0.1450 5.84685 0.02140
0.1450 6.02139 0.16067
0.1450 6.19592 0.61157

0.1550 0.08727 0.96403
0.1550 0.26180 0.67609
0.1550 0.43633 0.22689
0.1550 0.61087 0.04342
0.1550 0.78540 0.00479
0.1550 0.95993 0.00052
0.1550 1.13446 0.00007
0.1550 1.30900 0.00007
0.1550 1.48353 0.00004
0.1550 1.65806 0.00004
0.1550 1.83260 0.00007
0.1550 2.00713 0.00004
0.1550 2.18166 0.00082
0.1550 2.35619 0.00543
0.1550 2.53073 0.05009
0.1550 2.70526 0.25792
0.1550 2.87979 0.76196
0.1550 3.05433 1.08367
0.1550 3.22886 0.66995
