# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.1550 3.40339 0.17732
0.1550 3.57792 0.02250
0.1550 3.75246 0.00135
0.1550 3.92699 0.00007
0.1550 4.10152 0.00004
0.1550 4.27606 0.00000
0.1550 4.45059 0.00000
0.1550 4.62512 0.00000
0.1550 4.79966 0.00000
0.1550 4.97419 0.00000
0.1550 5.14872 0.00000
0.1550 5.32325 0.00004
0.1550 5.49779 0.00022
0.1550 5.67232 0.00176
0.1550 5.84685 0.01991
0.1550 6.02139 0.15977
0.1550 6.19592 0.60066

0.1650 0.08727 0.96470
0.1650 0.26180 0.67408
0.1650 0.43633 0.22578
0.1650 0.61087 0.04111
0.1650 0.78540 0.00546
0.1650 0.95993 0.00030
0.1650 1.13446 0.00010
0.1650 1.30900 0.00000
0.1650 1.48353 0.00007
0.1650 1.65806 0.00007
0.1650 1.83260 0.00007
0.1650 2.00713 0.00007
0.1650 2.18166 0.00060
0.1650 2.35619 0.00602
0.1650 2.53073 0.04670
0.1650 2.70526 0.25887
0.1650 2.87979 0.77467
0.1650 3.05433 1.09937
0.1650 3.22886 0.66070
0.1650 3.40339 0.17665
0.1650 3.57792 0.02323
0.1650 3.75246 0.00153
0.1650 3.92699 0.00017
0.1650 4.10152 0.00000
0.1650 4.27606 0.00003
0.1650 4.45059 0.00003
0.1650 4.62512 0.00000
0.1650 4.79966 0.00000
0.1650 4.97419 0.00000
0.1650 5.14872 0.00000
0.1650 5.32325 0.00000
0.1650 5.49779 0.00007
0.1650 5.67232 0.00176
0.1650 5.84685 0.01994
0.1650 6.02139 0.15751
0.1650 6.19592 0.58993

0.1750 0.08727 0.96357
0.1750 0.26180 0.68247
0.1750 0.43633 0.22385
0.1750 0.61087 0.03777
0.1750 0.78540 0.00515
0.1750 0.95993 0.00059
0.1750 1.13446 0.00012
0.1750 1.30900 0.00000
0.1750 1.48353 0.00003
0.1750 1.65806 0.00003
0.1750 1.83260 0.00003
0.1750 2.00713 0.00000
0.1750 2.18166 0.00083
0.1750 2.35619 0.00504
0.1750 2.53073 0.04683
0.1750 2.70526 0.25696
0.1750 2.87979 0.77912
0.1750 3.05433 1.09583
0.1750 3.22886 0.66632
0.1750 3.40339 0.17636
0.1750 3.57792 0.02296
0.1750 3.75246 0.00169
0.1750 3.92699 0.00006
0.1750 4.10152 0.00000
0.1750 4.27606 0.00000
0.1750 4.45059 0.00000
0.1750 4.62512 0.00000
0.1750 4.79966 0.00000
0.1750 4.97419 0.00000
0.1750 5.14872 0.00003
0.1750 5.32325 0.00000
0.1750 5.49779 0.00006
0.1750 5.67232 0.00169
0.1750 5.84685 0.02065
0.1750 6.02139 0.15592
0.1750 6.19592 0.58564

0.1850 0.08727 0.95432
0.1850 0.26180 0.67380
0.1850 0.43633 0.22011
0.1850 0.61087 0.04012
0.1850 0.78540 0.00542
0.1850 0.95993 0.00085
0.1850 1.13446 0.00013
0.1850 1.30900 0.00000
0.1850 1.48353 0.00000
0.1850 1.65806 0.00003
0.1850 1.83260 0.00005
0.1850 2.00713 0.00005
0.1850 2.18166 0.00056
0.1850 2.35619 0.00523
0.1850 2.53073 0.04576
0.1850 2.70526 0.25972
0.1850 2.87979 0.77767
0.1850 3.05433 1.09813
0.1850 3.22886 0.67300
0.1850 3.40339 0.18303
0.1850 3.57792 0.02226
0.1850 3.75246 0.00144
0.1850 3.92699 0.00005
0.1850 4.10152 0.00003
0.1850 4.27606 0.00003
0.1850 4.45059 0.00000
0.1850 4.62512 0.00000
0.1850 4.79966 0.00000
0.1850 4.97419 0.00000
0.1850 5.14872 0.00000
0.1850 5.32325 0.00000
0.1850 5.49779 0.00005
0.1850 5.67232 0.00179
0.1850 5.84685 0.02133
0.1850 6.02139 0.15740
0.1850 6.19592 0.58722

0.1950 0.08727 0.94346
0.1950 0.26180 0.66838
0.1950 0.43633 0.21616
0.1950 0.61087 0.04037
0.1950 0.78540 0.00489
0.1950 0.95993 0.00039
0.1950 1.13446 0.00002
0.1950 1.30900 0.00000
0.1950 1.48353 0.00000
0.1950 1.65806 0.00000
0.1950 1.83260 0.00005
0.1950 2.00713 0.00007
0.1950 2.18166 0.00056
0.1950 2.35619 0.00606
0.1950 2.53073 0.04792
0.1950 2.70526 0.26191
0.1950 2.87979 0.79042
0.1950 3.05433 1.10291
0.1950 3.22886 0.67659
0.1950 3.40339 0.18313
0.1950 3.57792 0.02148
0.1950 3.75246 0.00183
0.1950 3.92699 0.00005
0.1950 4.10152 0.00000
0.1950 4.27606 0.00000
0.1950 4.45059 0.00000
0.1950 4.62512 0.00000
0.1950 4.79966 0.00000
0.1950 4.97419 0.00000
0.1950 5.14872 0.00002
0.1950 5.32325 0.00000
0.1950 5.49779 0.00010
0.1950 5.67232 0.00161
0.1950 5.84685 0.02011
0.1950 6.02139 0.15617
0.1950 6.19592 0.58491

0.2050 0.08727 0.94692
0.2050 0.26180 0.67577
0.2050 0.43633 0.22132
0.2050 0.61087 0.03833
0.2050 0.78540 0.00520
0.2050 0.95993 0.00064
0.2050 1.13446 0.00000
0.2050 1.30900 0.00005
0.2050 1.48353 0.00000
0.2050 1.65806 0.00000
0.2050 1.83260 0.00000
0.2050 2.00713 0.00011
0.2050 2.18166 0.00064
0.2050 2.35619 0.00586
0.2050 2.53073 0.04729
0.2050 2.70526 0.25770
0.2050 2.87979 0.78714
0.2050 3.05433 1.09126
0.2050 3.22886 0.67552
0.2050 3.40339 0.18133
0.2050 3.57792 0.02184
0.2050 3.75246 0.00145
0.2050 3.92699 0.00014
0.2050 4.10152 0.00000
0.2050 4.27606 0.00000
0.2050 4.45059 0.00000
0.2050 4.62512 0.00000
0.2050 4.79966 0.00000
0.2050 4.97419 0.00000
0.2050 5.14872 0.00000
0.2050 5.32325 0.00000
0.2050 5.49779 0.00014
0.2050 5.67232 0.00195
0.2050 5.84685 0.02072
0.2050 6.02139 0.15876
0.2050 6.19592 0.58950

0.2150 0.08727 0.95482
0.2150 0.26180 0.66843
0.2150 0.43633 0.22202
0.2150 0.61087 0.03843
0.2150 0.78540 0.00465
0.2150 0.95993 0.00049
0.2150 1.13446 0.00006
0.2150 1.30900 0.00000
0.2150 1.48353 0.00002
0.2150 1.65806 0.00000
0.2150 1.83260 0.00000
0.2150 2.00713 0.00011
0.2150 2.18166 0.00068
0.2150 2.35619 0.00526
0.2150 2.53073 0.04828
0.2150 2.70526 0.26098
0.2150 2.87979 0.78498
0.2150 3.05433 1.09371
0.2150 3.22886 0.66777
0.2150 3.40339 0.18284
0.2150 3.57792 0.02381
0.2150 3.75246 0.00198
0.2150 3.92699 0.00009
0.2150 4.10152 0.00000
0.2150 4.27606 0.00000
0.2150 4.45059 0.00000
0.2150 4.62512 0.00000
0.2150 4.79966 0.00000
0.2150 4.97419 0.00000
0.2150 5.14872 0.00000
0.2150 5.32325 0.00000
0.2150 5.49779 0.00011
0.2150 5.67232 0.00153
0.2150 5.84685 0.02110
0.2150 6.02139 0.16057
0.2150 6.19592 0.58685

0.2250 0.08727 0.95940
0.2250 0.26180 0.68891
0.2250 0.43633 0.22515
0.2250 0.61087 0.04015
0.2250 0.78540 0.00494
0.2250 0.95993 0.00054
0.2250 1.13446 0.00002
0.2250 1.30900 0.00002
0.2250 1.48353 0.00000
0.2250 1.65806 0.00000
0.2250 1.83260 0.00002
0.2250 2.00713 0.00012
0.2250 2.18166 0.00066
0.2250 2.35619 0.00583
0.2250 2.53073 0.04524
0.2250 2.70526 0.25781
0.2250 2.87979 0.76868
0.2250 3.05433 1.08463
0.2250 3.22886 0.66504
0.2250 3.40339 0.18230
0.2250 3.57792 0.02388
0.2250 3.75246 0.00151
0.2250 3.92699 0.00008
0.2250 4.10152 0.00004
0.2250 4.27606 0.00000
0.2250 4.45059 0.00002
0.2250 4.62512 0.00000
0.2250 4.79966 0.00000
0.2250 4.97419 0.00000
0.2250 5.14872 0.00000
0.2250 5.32325 0.00000
0.2250 5.49779 0.00002
0.2250 5.67232 0.00123
0.2250 5.84685 0.01994
0.2250 6.02139 0.15829
0.2250 6.19592 0.59512

0.2350 0.08727 0.96182
0.2350 0.26180 0.68114
0.2350 0.43633 0.22401
0.2350 0.61087 0.04077
0.2350 0.78540 0.00538
0.2350 0.95993 0.00044
0.2350 1.13446 0.00009
0.2350 1.30900 0.00002
0.2350 1.48353 0.00000
0.2350 1.65806 0.00004
0.2350 1.83260 0.00002
0.2350 2.00713 0.00011
0.2350 2.18166 0.00051
0.2350 2.35619 0.00576
0.2350 2.53073 0.04685
0.2350 2.70526 0.25671
0.2350 2.87979 0.76743
0.2350 3.05433 1.08385
0.2350 3.22886 0.67119
0.2350 3.40339 0.17874
0.2350 3.57792 0.02377
0.2350 3.75246 0.00188
0.2350 3.92699 0.00006
0.2350 4.10152 0.00000
0.2350 4.27606 0.00000
0.2350 4.45059 0.00000
0.2350 4.62512 0.00000
0.2350 4.79966 0.00000
0.2350 4.97419 0.00000
0.2350 5.14872 0.00000
0.2350 5.32325 0.00000
0.2350 5.49779 0.00013
0.2350 5.67232 0.00144
0.2350 5.84685 0.02221
0.2350 6.02139 0.16231
0.2350 6.19592 0.59290

0.2450 0.08727 0.97081
0.2450 0.26180 0.68950
0.2450 0.43633 0.22740
0.2450 0.61087 0.04140
0.2450 0.78540 0.00492
0.2450 0.95993 0.00056
0.2450 1.13446 0.00011
0.2450 1.30900 0.00000
0.2450 1.48353 0.00000
0.2450 1.65806 0.00002
0.2450 1.83260 0.00002
0.2450 2.00713 0.00013
0.2450 2.18166 0.00048
0.2450 2.35619 0.00584
0.2450 2.53073 0.04568
0.2450 2.70526 0.25286
0.2450 2.87979 0.76942
0.2450 3.05433 1.07005
0.2450 3.22886 0.66177
0.2450 3.40339 0.17713
0.2450 3.57792 0.02240
0.2450 3.75246 0.00154
0.2450 3.92699 0.00013
0.2450 4.10152 0.00002
0.2450 4.27606 0.00000
0.2450 4.45059 0.00000
0.2450 4.62512 0.00000
0.2450 4.79966 0.00002
0.2450 4.97419 0.00000
0.2450 5.14872 0.00000
0.2450 5.32325 0.00000
0.2450 5.49779 0.00009
0.2450 5.67232 0.00162
0.2450 5.84685 0.02163
0.2450 6.02139 0.16500
0.2450 6.19592 0.59906

0.2550 0.08727 0.97931
0.2550 0.26180 0.69071
0.2550 0.43633 0.22610
0.2550 0.61087 0.04162
0.2550 0.78540 0.00455
0.2550 0.95993 0.00053
0.2550 1.13446 0.00010
0.2550 1.30900 0.00000
0.2550 1.48353 0.00000
0.2550 1.65806 0.00000
0.2550 1.83260 0.00002
0.2550 2.00713 0.00009
0.2550 2.18166 0.00068
0.2550 2.35619 0.00562
0.2550 2.53073 0.04548
0.2550 2.70526 0.24703
0.2550 2.87979 0.75911
0.2550 3.05433 1.07841
0.2550 3.22886 0.65886
0.2550 3.40339 0.17919
0.2550 3.57792 0.02248
0.2550 3.75246 0.00170
0.2550 3.92699 0.00017
0.2550 4.10152 0.00007
0.2550 4.27606 0.00000
0.2550 4.45059 0.00003
