# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.0050 0.08727 0.05934
0.0050 0.26180 0.09153
0.0050 0.43633 0.14544
0.0050 0.61087 0.20853
0.0050 0.78540 0.29295
0.0050 0.95993 0.38577
0.0050 1.13446 0.46735
0.0050 1.30900 0.52979
0.0050 1.48353 0.55448
0.0050 1.65806 0.56043
0.0050 1.83260 0.54181
0.0050 2.00713 0.49217
0.0050 2.18166 0.39547
0.0050 2.35619 0.29463
0.0050 2.53073 0.21706
0.0050 2.70526 0.15733
0.0050 2.87979 0.09696
0.0050 3.05433 0.05973
0.0050 3.22886 0.04021
0.0050 3.40339 0.02262
0.0050 3.57792 0.01112
0.0050 3.75246 0.00737
0.0050 3.92699 0.00349
0.0050 4.10152 0.00233
0.0050 4.27606 0.00194
0.0050 4.45059 0.00207
0.0050 4.62512 0.00129
0.0050 4.79966 0.00194
0.0050 4.97419 0.00168
0.0050 5.14872 0.00220
0.0050 5.32325 0.00233
0.0050 5.49779 0.00362
0.0050 5.67232 0.00737
0.0050 5.84685 0.01267
0.0050 6.02139 0.02068
0.0050 6.19592 0.03387

0.0150 0.08727 0.05743
0.0150 0.26180 0.09295
0.0150 0.43633 0.14515
0.0150 0.61087 0.21656
0.0150 0.78540 0.29565
0.0150 0.95993 0.37984
0.0150 1.13446 0.44992
0.0150 1.30900 0.53168
0.0150 1.48353 0.58716
0.0150 1.65806 0.57511
0.0150 1.83260 0.52827
0.0150 2.00713 0.46926
0.0150 2.18166 0.38203
0.0150 2.35619 0.30647
0.0150 2.53073 0.22301
0.0150 2.70526 0.14685
0.0150 2.87979 0.09685
0.0150 3.05433 0.05779
0.0150 3.22886 0.03808
0.0150 3.40339 0.02299
0.0150 3.57792 0.01350
0.0150 3.75246 0.00900
0.0150 3.92699 0.00450
0.0150 4.10152 0.00341
0.0150 4.27606 0.00170
0.0150 4.45059 0.00255
0.0150 4.62512 0.00170
0.0150 4.79966 0.00158
0.0150 4.97419 0.00170
0.0150 5.14872 0.00365
0.0150 5.32325 0.00389
0.0150 5.49779 0.00572
0.0150 5.67232 0.00815
0.0150 5.84685 0.01229
0.0150 6.02139 0.01971
0.0150 6.19592 0.03346

0.0250 0.08727 0.06179
0.0250 0.26180 0.09496
0.0250 0.43633 0.15082
0.0250 0.61087 0.22104
0.0250 0.78540 0.30985
0.0250 0.95993 0.39763
0.0250 1.13446 0.46067
0.0250 1.30900 0.52348
0.0250 1.48353 0.56190
0.0250 1.65806 0.56304
0.0250 1.83260 0.52793
0.0250 2.00713 0.48073
0.0250 2.18166 0.38475
0.0250 2.35619 0.30232
0.0250 2.53073 0.20953
0.0250 2.70526 0.13874
0.0250 2.87979 0.09827
0.0250 3.05433 0.06019
0.0250 3.22886 0.03568
0.0250 3.40339 0.02018
0.0250 3.57792 0.01334
0.0250 3.75246 0.00752
0.0250 3.92699 0.00490
0.0250 4.10152 0.00388
0.0250 4.27606 0.00217
0.0250 4.45059 0.00205
0.0250 4.62512 0.00217
0.0250 4.79966 0.00182
0.0250 4.97419 0.00194
0.0250 5.14872 0.00194
0.0250 5.32325 0.00353
0.0250 5.49779 0.00616
0.0250 5.67232 0.00809
0.0250 5.84685 0.01049
