# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.0050 0.08727 0.99818
0.0050 0.26180 0.70029
0.0050 0.43633 0.22469
0.0050 0.61087 0.04167
0.0050 0.78540 0.00573
0.0050 0.95993 0.00066
0.0050 1.13446 0.00000
0.0050 1.30900 0.00000
0.0050 1.48353 0.00000
0.0050 1.65806 0.00000
0.0050 1.83260 0.00022
0.0050 2.00713 0.00022
0.0050 2.18166 0.00110
0.0050 2.35619 0.00397
0.0050 2.53073 0.04189
0.0050 2.70526 0.23328
0.0050 2.87979 0.75299
0.0050 3.05433 1.04603
0.0050 3.22886 0.66259
0.0050 3.40339 0.18301
0.0050 3.57792 0.01852
0.0050 3.75246 0.00176
0.0050 3.92699 0.00044
0.0050 4.10152 0.00000
0.0050 4.27606 0.00000
0.0050 4.45059 0.00000
0.0050 4.62512 0.00000
0.0050 4.79966 0.00000
0.0050 4.97419 0.00000
0.0050 5.14872 0.00000
0.0050 5.32325 0.00000
0.0050 5.49779 0.00022
0.0050 5.67232 0.00132
0.0050 5.84685 0.01918
0.0050 6.02139 0.16471
0.0050 6.19592 0.62687

0.0150 0.08727 0.97601
0.0150 0.26180 0.70412
0.0150 0.43633 0.22306
0.0150 0.61087 0.04461
0.0150 0.78540 0.00610
0.0150 0.95993 0.00042
0.0150 1.13446 0.00021
0.0150 1.30900 0.00000
0.0150 1.48353 0.00000
0.0150 1.65806 0.00000
0.0150 1.83260 0.00021
0.0150 2.00713 0.00021
0.0150 2.18166 0.00105
0.0150 2.35619 0.00652
0.0150 2.53073 0.05029
0.0150 2.70526 0.25063
0.0150 2.87979 0.75231
0.0150 3.05433 1.08775
0.0150 3.22886 0.65741
0.0150 3.40339 0.17045
0.0150 3.57792 0.02210
0.0150 3.75246 0.00189
0.0150 3.92699 0.00021
0.0150 4.10152 0.00000
0.0150 4.27606 0.00000
0.0150 4.45059 0.00000
0.0150 4.62512 0.00000
0.0150 4.79966 0.00000
0.0150 4.97419 0.00000
0.0150 5.14872 0.00000
0.0150 5.32325 0.00000
0.0150 5.49779 0.00000
0.0150 5.67232 0.00189
0.0150 5.84685 0.02441
0.0150 6.02139 0.15572
0.0150 6.19592 0.59196

0.0250 0.08727 0.98141
0.0250 0.26180 0.70118
0.0250 0.43633 0.21289
0.0250 0.61087 0.03689
0.0250 0.78540 0.00524
0.0250 0.95993 0.00020
0.0250 1.13446 0.00000
0.0250 1.30900 0.00000
0.0250 1.48353 0.00020
0.0250 1.65806 0.00000
0.0250 1.83260 0.00000
0.0250 2.00713 0.00000
0.0250 2.18166 0.00020
0.0250 2.35619 0.00444
0.0250 2.53073 0.04415
0.0250 2.70526 0.24878
0.0250 2.87979 0.76609
0.0250 3.05433 1.09088
0.0250 3.22886 0.65924
0.0250 3.40339 0.17237
0.0250 3.57792 0.02077
0.0250 3.75246 0.00141
0.0250 3.92699 0.00000
0.0250 4.10152 0.00000
0.0250 4.27606 0.00000
0.0250 4.45059 0.00000
0.0250 4.62512 0.00000
0.0250 4.79966 0.00000
0.0250 4.97419 0.00000
