x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,4
0.005,-1.0421874999999998,58
0.005,-0.9703124999999999,197
0.005,-0.8984375,525
0.005,-0.8265624999999999,621
0.005,-0.7546875,1112
0.005,-0.6828125,1036
0.005,-0.6109374999999999,1017
0.005,-0.5390625,945
0.005,-0.46718749999999987,1219
0.005,-0.39531249999999996,1453
0.005,-0.32343750000000004,2030
0.005,-0.2515624999999999,2593
0.005,-0.1796875,3526
0.005,-0.10781250000000009,5411
0.005,-0.03593750000000018,6835
0.005,0.03593750000000018,6852
0.005,0.10781250000000009,5482
0.005,0.1796875,4195
0.005,0.2515624999999999,3300
0.005,0.3234374999999998,2324
0.005,0.3953125000000002,1679
0.005,0.4671875000000001,1156
0.005,0.5390625,1153
0.005,0.6109374999999999,838
0.005,0.6828124999999998,711
0.005,0.7546874999999997,487
0.005,0.8265625000000001,460
0.005,0.8984375,290
0.005,0.9703124999999999,221
0.005,1.0421874999999998,98
0.005,1.1140624999999997,9
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,15
0.015,-1.1140625,127
0.015,-1.0421874999999998,243
0.015,-0.9703124999999999,412
0.015,-0.8984375,832
0.015,-0.8265624999999999,1071
0.015,-0.7546875,1254
0.015,-0.6828125,1211
0.015,-0.6109374999999999,1077
0.015,-0.5390625,1044
0.015,-0.46718749999999987,1183
0.015,-0.39531249999999996,1696
0.015,-0.32343750000000004,2102
0.015,-0.2515624999999999,2825
0.015,-0.1796875,3786
0.015,-0.10781250000000009,5258
0.015,-0.03593750000000018,6769
0.015,0.03593750000000018,6475
0.015,0.10781250000000009,5481
0.015,0.1796875,4289
0.015,0.2515624999999999,3300
0.015,0.3234374999999998,2373
0.015,0.3953125000000002,1763
0.015,0.4671875000000001,1261
0.015,0.5390625,1301
0.015,0.6109374999999999,928
