x,phi,count
0.005,0.08726646259971647,2573
0.005,0.2617993877991494,3012
0.005,0.4363323129985824,2929
0.005,0.6108652381980153,2670
0.005,0.7853981633974483,2164
0.005,0.9599310885968811,1608
0.005,1.1344640137963142,1175
0.005,1.308996938995747,928
0.005,1.4835298641951802,852
0.005,1.658062789394613,880
0.005,1.8325957145940461,1036
0.005,2.007128639793479,1191
0.005,2.181661564992912,1460
0.005,2.356194490192345,1865
0.005,2.530727415391778,2545
0.005,2.705260340591211,2835
0.005,2.879793265790644,2853
0.005,3.0543261909900767,2350
0.005,3.2288591161895095,1615
0.005,3.4033920413889422,960
0.005,3.577924966588375,521
0.005,3.752457891787808,270
0.005,3.9269908169872414,149
0.005,4.101523742186675,71
0.005,4.276056667386107,50
0.005,4.4505895925855405,25
0.005,4.625122517784973,30
0.005,4.799655442984406,13
0.005,4.974188368183839,29
0.005,5.148721293383272,36
0.005,5.323254218582705,81
0.005,5.497787143782138,155
0.005,5.672320068981571,279
0.005,5.8468529941810035,545
0.005,6.021385919380437,1116
0.005,6.19591884457987,1854
0.015,0.08726646259971647,2688
0.015,0.2617993877991494,3143
0.015,0.4363323129985824,3132
0.015,0.6108652381980153,2703
0.015,0.7853981633974483,2205
0.015,0.9599310885968811,1603
0.015,1.1344640137963142,1210
0.015,1.308996938995747,975
0.015,1.4835298641951802,851
0.015,1.658062789394613,863
0.015,1.8325957145940461,974
0.015,2.007128639793479,1162
0.015,2.181661564992912,1507
0.015,2.356194490192345,2054
0.015,2.530727415391778,2487
0.015,2.705260340591211,2946
0.015,2.879793265790644,2961
0.015,3.0543261909900767,2405
0.015,3.2288591161895095,1788
0.015,3.4033920413889422,1072
0.015,3.577924966588375,572
0.015,3.752457891787808,289
0.015,3.9269908169872414,134
0.015,4.101523742186675,80
0.015,4.276056667386107,62
0.015,4.4505895925855405,26
0.015,4.625122517784973,25
0.015,4.799655442984406,24
0.015,4.974188368183839,28
0.015,5.148721293383272,29
0.015,5.323254218582705,74
0.015,5.497787143782138,120
0.015,5.672320068981571,259
0.015,5.8468529941810035,576
0.015,6.021385919380437,1112
0.015,6.19591884457987,1877
0.025,0.08726646259971647,2861
0.025,0.2617993877991494,3376
0.025,0.4363323129985824,3289
0.025,0.6108652381980153,2858
0.025,0.7853981633974483,2311
0.025,0.9599310885968811,1729
0.025,1.1344640137963142,1379
0.025,1.308996938995747,1073
0.025,1.4835298641951802,906
0.025,1.658062789394613,945
0.025,1.8325957145940461,1144
0.025,2.007128639793479,1262
0.025,2.181661564992912,1685
0.025,2.356194490192345,2231
0.025,2.530727415391778,2746
0.025,2.705260340591211,3155
0.025,2.879793265790644,3210
0.025,3.0543261909900767,2630
0.025,3.2288591161895095,1879
0.025,3.4033920413889422,1174
