x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,2
0.005,-1.0421874999999998,8
0.005,-0.9703124999999999,50
0.005,-0.8984375,109
0.005,-0.8265624999999999,229
0.005,-0.7546875,570
0.005,-0.6828125,864
0.005,-0.6109374999999999,841
0.005,-0.5390625,837
0.005,-0.46718749999999987,914
0.005,-0.39531249999999996,1035
0.005,-0.32343750000000004,1280
0.005,-0.2515624999999999,1899
0.005,-0.1796875,3031
0.005,-0.10781250000000009,4757
0.005,-0.03593750000000018,6102
0.005,0.03593750000000018,6228
0.005,0.10781250000000009,4345
0.005,0.1796875,2774
0.005,0.2515624999999999,1502
0.005,0.3234374999999998,1055
0.005,0.3953125000000002,1133
0.005,0.4671875000000001,789
0.005,0.5390625,750
0.005,0.6109374999999999,488
0.005,0.6828124999999998,555
0.005,0.7546874999999997,395
0.005,0.8265625000000001,121
0.005,0.8984375,34
0.005,0.9703124999999999,10
0.005,1.0421874999999998,3
0.005,1.1140624999999997,13
0.005,1.1859375,2
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,6
0.015,-1.1140625,38
0.015,-1.0421874999999998,32
0.015,-0.9703124999999999,179
0.015,-0.8984375,241
0.015,-0.8265624999999999,535
0.015,-0.7546875,865
0.015,-0.6828125,913
0.015,-0.6109374999999999,913
0.015,-0.5390625,854
0.015,-0.46718749999999987,881
0.015,-0.39531249999999996,926
0.015,-0.32343750000000004,1269
0.015,-0.2515624999999999,1817
0.015,-0.1796875,3050
0.015,-0.10781250000000009,4499
0.015,-0.03593750000000018,6120
0.015,0.03593750000000018,5811
0.015,0.10781250000000009,4537
0.015,0.1796875,2506
0.015,0.2515624999999999,1628
0.015,0.3234374999999998,1321
0.015,0.3953125000000002,1129
0.015,0.4671875000000001,872
0.015,0.5390625,751
0.015,0.6109374999999999,562
0.015,0.6828124999999998,550
