x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,0
0.005,-1.0421874999999998,19
0.005,-0.9703124999999999,66
0.005,-0.8984375,148
0.005,-0.8265624999999999,294
0.005,-0.7546875,279
0.005,-0.6828125,210
0.005,-0.6109374999999999,264
0.005,-0.5390625,369
0.005,-0.46718749999999987,383
0.005,-0.39531249999999996,607
0.005,-0.32343750000000004,828
0.005,-0.2515624999999999,1003
0.005,-0.1796875,1905
0.005,-0.10781250000000009,3050
0.005,-0.03593750000000018,4252
0.005,0.03593750000000018,4840
0.005,0.10781250000000009,3390
0.005,0.1796875,2043
0.005,0.2515624999999999,1331
0.005,0.3234374999999998,962
0.005,0.3953125000000002,814
0.005,0.4671875000000001,645
0.005,0.5390625,416
0.005,0.6109374999999999,288
0.005,0.6828124999999998,303
0.005,0.7546874999999997,474
0.005,0.8265625000000001,337
0.005,0.8984375,278
0.005,0.9703124999999999,95
0.005,1.0421874999999998,16
0.005,1.1140624999999997,1
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,1
0.015,-1.1140625,34
0.015,-1.0421874999999998,155
0.015,-0.9703124999999999,260
0.015,-0.8984375,207
0.015,-0.8265624999999999,293
0.015,-0.7546875,301
0.015,-0.6828125,261
0.015,-0.6109374999999999,295
0.015,-0.5390625,390
0.015,-0.46718749999999987,455
0.015,-0.39531249999999996,638
0.015,-0.32343750000000004,850
0.015,-0.2515624999999999,1101
0.015,-0.1796875,1871
0.015,-0.10781250000000009,3203
0.015,-0.03593750000000018,4107
0.015,0.03593750000000018,4571
0.015,0.10781250000000009,3271
0.015,0.1796875,1910
0.015,0.2515624999999999,1393
0.015,0.3234374999999998,985
0.015,0.3953125000000002,826
0.015,0.4671875000000001,681
0.015,0.5390625,548
0.015,0.6109374999999999,329
0.015,0.6828124999999998,300
0.015,0.7546874999999997,410
