x,phi,count
0.005,0.08726646259971647,5861
0.005,0.2617993877991494,4007
0.005,0.4363323129985824,1285
0.005,0.6108652381980153,302
0.005,0.7853981633974483,28
0.005,0.9599310885968811,7
0.005,1.1344640137963142,2
0.005,1.308996938995747,0
0.005,1.4835298641951802,1
0.005,1.658062789394613,0
0.005,1.8325957145940461,2
0.005,2.007128639793479,2
0.005,2.181661564992912,2
0.005,2.356194490192345,48
0.005,2.530727415391778,298
0.005,2.705260340591211,1588
0.005,2.879793265790644,4795
0.005,3.0543261909900767,6781
0.005,3.2288591161895095,4102
0.005,3.4033920413889422,1184
0.005,3.577924966588375,142
0.005,3.752457891787808,14
0.005,3.9269908169872414,3
0.005,4.101523742186675,0
0.005,4.276056667386107,0
0.005,4.4505895925855405,0
0.005,4.625122517784973,0
0.005,4.799655442984406,0
0.005,4.974188368183839,0
0.005,5.148721293383272,0
0.005,5.323254218582705,0
0.005,5.497787143782138,0
0.005,5.672320068981571,15
0.005,5.8468529941810035,138
0.005,6.021385919380437,937
0.005,6.19591884457987,3546
0.015,0.08726646259971647,6127
0.015,0.2617993877991494,4367
0.015,0.4363323129985824,1445
0.015,0.6108652381980153,279
0.015,0.7853981633974483,33
0.015,0.9599310885968811,9
0.015,1.1344640137963142,2
0.015,1.308996938995747,1
0.015,1.4835298641951802,0
0.015,1.658062789394613,0
0.015,1.8325957145940461,0
0.015,2.007128639793479,0
0.015,2.181661564992912,2
0.015,2.356194490192345,42
0.015,2.530727415391778,299
0.015,2.705260340591211,1693
0.015,2.879793265790644,5110
0.015,3.0543261909900767,7306
0.015,3.2288591161895095,4523
0.015,3.4033920413889422,1228
0.015,3.577924966588375,142
0.015,3.752457891787808,9
0.015,3.9269908169872414,1
0.015,4.101523742186675,0
0.015,4.276056667386107,0
0.015,4.4505895925855405,0
0.015,4.625122517784973,0
0.015,4.799655442984406,2
0.015,4.974188368183839,1
0.015,5.148721293383272,4
0.015,5.323254218582705,4
0.015,5.497787143782138,1
0.015,5.672320068981571,4
0.015,5.8468529941810035,138
0.015,6.021385919380437,970
0.015,6.19591884457987,3821
0.025,0.08726646259971647,6477
0.025,0.2617993877991494,4556
0.025,0.4363323129985824,1577
0.025,0.6108652381980153,306
0.025,0.7853981633974483,40
0.025,0.9599310885968811,5
0.025,1.1344640137963142,3
0.025,1.308996938995747,0
0.025,1.4835298641951802,0
0.025,1.658062789394613,0
0.025,1.8325957145940461,0
0.025,2.007128639793479,2
0.025,2.181661564992912,5
0.025,2.356194490192345,45
0.025,2.530727415391778,334
0.025,2.705260340591211,1706
0.025,2.879793265790644,5230
0.025,3.0543261909900767,7534
0.025,3.2288591161895095,4696
0.025,3.4033920413889422,1256
0.025,3.577924966588375,152
0.025,3.752457891787808,18
0.025,3.9269908169872414,1
0.025,4.101523742186675,1
0.025,4.276056667386107,1
0.025,4.4505895925855405,1
0.025,4.625122517784973,0
0.025,4.799655442984406,0
0.025,4.974188368183839,1
0.025,5.148721293383272,0
0.025,5.323254218582705,0
0.025,5.497787143782138,4
0.025,5.672320068981571,16
0.025,5.8468529941810035,165
0.025,6.021385919380437,1062
0.025,6.19591884457987,3911
0.035,0.08726646259971647,7027
0.035,0.2617993877991494,4867
0.035,0.4363323129985824,1692
0.035,0.6108652381980153,280
0.035,0.7853981633974483,49
0.035,0.9599310885968811,8
0.035,1.1344640137963142,1
0.035,1.308996938995747,0
0.035,1.4835298641951802,0
0.035,1.658062789394613,1
0.035,1.8325957145940461,1
0.035,2.007128639793479,2
0.035,2.181661564992912,14
0.035,2.356194490192345,44
0.035,2.530727415391778,350
0.035,2.705260340591211,1948
0.035,2.879793265790644,5730
0.035,3.0543261909900767,8048
0.035,3.2288591161895095,4943
0.035,3.4033920413889422,1391
0.035,3.577924966588375,175
0.035,3.752457891787808,16
0.035,3.9269908169872414,1
0.035,4.101523742186675,2
0.035,4.276056667386107,1
0.035,4.4505895925855405,2
0.035,4.625122517784973,0
0.035,4.799655442984406,1
0.035,4.974188368183839,0
0.035,5.148721293383272,0
0.035,5.323254218582705,0
0.035,5.497787143782138,4
0.035,5.672320068981571,20
0.035,5.8468529941810035,148
0.035,6.021385919380437,1114
0.035,6.19591884457987,4157
0.045,0.08726646259971647,7655
0.045,0.2617993877991494,5396
0.045,0.4363323129985824,1883
0.045,0.6108652381980153,368
0.045,0.7853981633974483,47
0.045,0.9599310885968811,3
0.045,1.1344640137963142,1
0.045,1.308996938995747,0
0.045,1.4835298641951802,1
0.045,1.658062789394613,0
0.045,1.8325957145940461,1
0.045,2.007128639793479,5
0.045,2.181661564992912,15
0.045,2.356194490192345,65
0.045,2.530727415391778,345
0.045,2.705260340591211,2213
0.045,2.879793265790644,6418
0.045,3.0543261909900767,8878
0.045,3.2288591161895095,5311
0.045,3.4033920413889422,1534
0.045,3.577924966588375,179
0.045,3.752457891787808,13
0.045,3.9269908169872414,1
0.045,4.101523742186675,1
0.045,4.276056667386107,3
0.045,4.4505895925855405,1
0.045,4.625122517784973,0
0.045,4.799655442984406,1
0.045,4.974188368183839,1
0.045,5.148721293383272,1
0.045,5.323254218582705,2
0.045,5.497787143782138,1
0.045,5.672320068981571,20
0.045,5.8468529941810035,178
0.045,6.021385919380437,1203
0.045,6.19591884457987,4552
0.055,0.08726646259971647,8238
0.055,0.2617993877991494,5858
0.055,0.4363323129985824,2058
0.055,0.6108652381980153,356
0.055,0.7853981633974483,43
0.055,0.9599310885968811,6
0.055,1.1344640137963142,1
0.055,1.308996938995747,0
0.055,1.4835298641951802,0
0.055,1.658062789394613,0
0.055,1.8325957145940461,0
0.055,2.007128639793479,1
0.055,2.181661564992912,11
0.055,2.356194490192345,44
0.055,2.530727415391778,432
0.055,2.705260340591211,2381
0.055,2.879793265790644,6837
0.055,3.0543261909900767,9568
0.055,3.2288591161895095,5814
0.055,3.4033920413889422,1633
0.055,3.577924966588375,207
0.055,3.752457891787808,18
0.055,3.9269908169872414,2
0.055,4.101523742186675,1
0.055,4.276056667386107,0
0.055,4.4505895925855405,1
0.055,4.625122517784973,0
0.055,4.799655442984406,1
0.055,4.974188368183839,2
0.055,5.148721293383272,0
0.055,5.323254218582705,0
0.055,5.497787143782138,1
0.055,5.672320068981571,15
0.055,5.8468529941810035,183
0.055,6.021385919380437,1436
0.055,6.19591884457987,5169
0.065,0.08726646259971647,9094
0.065,0.2617993877991494,6429
0.065,0.4363323129985824,2135
0.065,0.6108652381980153,396
0.065,0.7853981633974483,49
0.065,0.9599310885968811,10
0.065,1.1344640137963142,1
0.065,1.308996938995747,0
0.065,1.4835298641951802,0
0.065,1.658062789394613,0
0.065,1.8325957145940461,0
0.065,2.007128639793479,0
0.065,2.181661564992912,9
0.065,2.356194490192345,65
0.065,2.530727415391778,452
0.065,2.705260340591211,2581
0.065,2.879793265790644,7405
0.065,3.0543261909900767,10464
0.065,3.2288591161895095,6556
0.065,3.4033920413889422,1759
0.065,3.577924966588375,208
0.065,3.752457891787808,20
0.065,3.9269908169872414,2
0.065,4.101523742186675,1
0.065,4.276056667386107,0
0.065,4.4505895925855405,0
0.065,4.625122517784973,0
0.065,4.799655442984406,2
0.065,4.974188368183839,1
0.065,5.148721293383272,1
0.065,5.323254218582705,2
0.065,5.497787143782138,0
0.065,5.672320068981571,14
0.065,5.8468529941810035,192
0.065,6.021385919380437,1514
0.065,6.19591884457987,5690
0.075,0.08726646259971647,10241
0.075,0.2617993877991494,6965
0.075,0.4363323129985824,2381
0.075,0.6108652381980153,433
0.075,0.7853981633974483,53
0.075,0.9599310885968811,8
0.075,1.1344640137963142,2
0.075,1.308996938995747,0
0.075,1.4835298641951802,0
0.075,1.658062789394613,2
0.075,1.8325957145940461,0
0.075,2.007128639793479,2
0.075,2.181661564992912,13
0.075,2.356194490192345,72
0.075,2.530727415391778,532
0.075,2.705260340591211,2797
0.075,2.879793265790644,8225
0.075,3.0543261909900767,11433
0.075,3.2288591161895095,7072
0.075,3.4033920413889422,1962
0.075,3.577924966588375,208
0.075,3.752457891787808,18
0.075,3.9269908169872414,2
0.075,4.101523742186675,0
0.075,4.276056667386107,0
0.075,4.4505895925855405,0
0.075,4.625122517784973,0
0.075,4.799655442984406,0
0.075,4.974188368183839,0
0.075,5.148721293383272,1
0.075,5.323254218582705,1
0.075,5.497787143782138,4
0.075,5.672320068981571,20
0.075,5.8468529941810035,228
0.075,6.021385919380437,1698
0.075,6.19591884457987,6238
0.085,0.08726646259971647,11532
0.085,0.2617993877991494,7990
0.085,0.4363323129985824,2875
0.085,0.6108652381980153,493
0.085,0.7853981633974483,57
0.085,0.9599310885968811,12
0.085,1.1344640137963142,0
0.085,1.308996938995747,0
0.085,1.4835298641951802,0
0.085,1.658062789394613,0
0.085,1.8325957145940461,1
0.085,2.007128639793479,6
0.085,2.181661564992912,6
0.085,2.356194490192345,60
0.085,2.530727415391778,579
0.085,2.705260340591211,3012
0.085,2.879793265790644,9121
0.085,3.0543261909900767,12929
0.085,3.2288591161895095,7969
0.085,3.4033920413889422,2140
0.085,3.577924966588375,274
0.085,3.752457891787808,21
0.085,3.9269908169872414,1
0.085,4.101523742186675,0
0.085,4.276056667386107,0
0.085,4.4505895925855405,0
0.085,4.625122517784973,0
0.085,4.799655442984406,0
0.085,4.974188368183839,0
0.085,5.148721293383272,0
0.085,5.323254218582705,0
0.085,5.497787143782138,1
0.085,5.672320068981571,15
0.085,5.8468529941810035,258
0.085,6.021385919380437,1971
0.085,6.19591884457987,6862
0.095,0.08726646259971647,12789
0.095,0.2617993877991494,9013
0.095,0.4363323129985824,3049
0.095,0.6108652381980153,561
0.095,0.7853981633974483,87
0.095,0.9599310885968811,13
0.095,1.1344640137963142,0
0.095,1.308996938995747,1
0.095,1.4835298641951802,0
0.095,1.658062789394613,0
0.095,1.8325957145940461,2
0.095,2.007128639793479,1
0.095,2.181661564992912,6
0.095,2.356194490192345,64
0.095,2.530727415391778,592
0.095,2.705260340591211,3322
0.095,2.879793265790644,9979
0.095,3.0543261909900767,14126
0.095,3.2288591161895095,8758
0.095,3.4033920413889422,2316
0.095,3.577924966588375,307
0.095,3.752457891787808,32
0.095,3.9269908169872414,4
0.095,4.101523742186675,0
0.095,4.276056667386107,0
0.095,4.4505895925855405,0
0.095,4.625122517784973,0
0.095,4.799655442984406,0
0.095,4.974188368183839,0
0.095,5.148721293383272,1
0.095,5.323254218582705,2
0.095,5.497787143782138,1
0.095,5.672320068981571,35
0.095,5.8468529941810035,307
0.095,6.021385919380437,2121
0.095,6.19591884457987,7984
0.105,0.08726646259971647,14081
0.105,0.2617993877991494,9973
0.105,0.4363323129985824,3353
0.105,0.6108652381980153,654
0.105,0.7853981633974483,80
0.105,0.9599310885968811,13
0.105,1.1344640137963142,0
0.105,1.308996938995747,0
0.105,1.4835298641951802,0
0.105,1.658062789394613,0
0.105,1.8325957145940461,0
0.105,2.007128639793479,1
0.105,2.181661564992912,5
0.105,2.356194490192345,93
0.105,2.530727415391778,692
0.105,2.705260340591211,3849
0.105,2.879793265790644,11422
0.105,3.0543261909900767,15993
0.105,3.2288591161895095,9918
0.105,3.4033920413889422,2667
0.105,3.577924966588375,324
0.105,3.752457891787808,25
0.105,3.9269908169872414,3
0.105,4.101523742186675,0
0.105,4.276056667386107,0
0.105,4.4505895925855405,0
0.105,4.625122517784973,0
0.105,4.799655442984406,0
0.105,4.974188368183839,1
0.105,5.148721293383272,0
0.105,5.323254218582705,1
