x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,4
0.005,-1.1140625,1
0.005,-1.0421874999999998,33
0.005,-0.9703124999999999,114
0.005,-0.8984375,259
0.005,-0.8265624999999999,271
0.005,-0.7546875,479
0.005,-0.6828125,665
0.005,-0.6109374999999999,662
0.005,-0.5390625,867
0.005,-0.46718749999999987,869
0.005,-0.39531249999999996,829
0.005,-0.32343750000000004,1266
0.005,-0.2515624999999999,1769
0.005,-0.1796875,2948
0.005,-0.10781250000000009,4705
0.005,-0.03593750000000018,6350
0.005,0.03593750000000018,6532
0.005,0.10781250000000009,4808
0.005,0.1796875,3310
0.005,0.2515624999999999,2205
0.005,0.3234374999999998,1105
0.005,0.3953125000000002,1214
0.005,0.4671875000000001,856
0.005,0.5390625,934
0.005,0.6109374999999999,690
0.005,0.6828124999999998,633
0.005,0.7546874999999997,413
0.005,0.8265625000000001,265
0.005,0.8984375,164
0.005,0.9703124999999999,122
0.005,1.0421874999999998,29
0.005,1.1140624999999997,4
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,5
0.015,-1.1859374999999999,22
0.015,-1.1140625,38
0.015,-1.0421874999999998,155
0.015,-0.9703124999999999,289
0.015,-0.8984375,425
0.015,-0.8265624999999999,540
0.015,-0.7546875,696
0.015,-0.6828125,780
0.015,-0.6109374999999999,689
0.015,-0.5390625,920
0.015,-0.46718749999999987,866
0.015,-0.39531249999999996,888
0.015,-0.32343750000000004,1513
0.015,-0.2515624999999999,1946
0.015,-0.1796875,3057
0.015,-0.10781250000000009,4687
0.015,-0.03593750000000018,6268
0.015,0.03593750000000018,6506
0.015,0.10781250000000009,4538
0.015,0.1796875,3181
0.015,0.2515624999999999,2211
0.015,0.3234374999999998,1284
0.015,0.3953125000000002,1265
0.015,0.4671875000000001,1035
0.015,0.5390625,896
0.015,0.6109374999999999,788
0.015,0.6828124999999998,672
